year_week,pm25_obs,pm25_cf,att,period
201801,53.93112453026728,54.600513,-0.6693889279846701,pre
201802,52.456674940493926,52.209003,0.24767149200759775,pre
201803,78.15072991492067,76.94015,1.2105825150183307,pre
201804,65.78272091284252,64.99204,0.7906783713386147,pre
201805,49.83193380429631,50.431805,-0.5998708526861094,pre
201806,52.1174361364955,52.347507,-0.23007134031114163,pre
201807,48.10369402418308,48.635212,-0.5315179203970004,pre
201808,33.157191297249604,33.274708,-0.11751649693984945,pre
201809,37.18498790818027,36.964733,0.22025478440097146,pre
201810,34.41922486262875,33.93772,0.481503610187346,pre
201811,42.44584067936738,39.743538,2.7023027765353476,pre
201812,38.60358788131097,39.334534,-0.7309458100952781,pre
201813,42.52116211062652,41.9855,0.5356617749331605,pre
201814,36.41863867592373,38.393543,-1.9749045674844723,pre
201815,34.26239198288747,35.04006,-0.7776661530988562,pre
201816,46.13986218294643,39.283615,6.856247070641743,pre
201817,42.08729286719561,42.595142,-0.5078494973063457,pre
201818,26.92470058095886,27.93696,-1.0122596393780547,pre
201819,26.18596384383455,25.175495,1.0104686961294718,pre
201820,25.05432576967191,24.900198,0.1541277868838229,pre
201821,23.769196448706445,23.889893,-0.12069612941855468,pre
201822,24.49350672124681,24.497545,-0.004038521062760481,pre
201823,21.05517317150888,21.062868,-0.007694946777252909,pre
201824,24.365849601234707,24.079067,0.28678237101009785,pre
201825,21.04687455751796,21.023422,0.02345231630702216,pre
201826,20.02142538213156,20.218472,-0.1970461449680485,pre
201827,20.057958224273865,20.092848,-0.03488959982281514,pre
201828,20.34645547580152,20.96837,-0.6219149618205506,pre
201829,21.79303669751258,21.586132,0.20690464795203312,pre
201830,22.316526842674115,22.078007,0.2385200982893494,pre
201831,22.745484753255493,22.592594,0.15289060652697728,pre
201832,24.46493335239805,23.803204,0.6617297696343769,pre
201833,25.78322275214725,25.091963,0.691259937816195,pre
201834,29.11936638768514,29.830465,-0.7110989290873206,pre
201835,27.3428835887146,27.398033,-0.05514955337524441,pre
201836,28.507536388464462,29.107191,-0.5996546973509673,pre
201837,28.807358953648304,28.890125,-0.082766321009899,pre
201838,28.09567483688132,26.508224,1.5874503495766312,pre
201839,33.2800186568709,33.50565,-0.22563090977948974,pre
201840,35.13114151581475,37.01594,-1.8848001040583,pre
201841,39.90137912837569,40.101547,-0.20016811283525016,pre
201842,33.44704647225397,32.504173,0.9428731934453793,pre
201843,36.84406774953008,37.2849,-0.4408329157531199,pre
201844,37.380839274088544,36.791008,0.589831278483075,pre
201845,38.93946557183673,37.443832,1.49563317437579,pre
201846,37.28565658018277,38.619442,-1.3337854059012173,pre
201847,39.72207206179841,39.351284,0.37078803469879773,pre
201848,42.55995644539311,42.594753,-0.034796819987747085,pre
201849,39.605733163219725,39.558193,0.04753995643261533,pre
201850,39.63093526836164,39.038994,0.5919414329124209,pre
201851,40.00885030131664,40.20154,-0.19269159931812396,pre
201852,45.65247979856149,45.334698,0.31778207517281487,pre
201901,47.67696087597098,49.259235,-1.5822745061091013,pre
201902,50.11559975551991,48.96477,1.1508284847679562,pre
201903,51.792267920193225,51.62514,0.16712677639439733,pre
201904,52.39745568759669,52.87244,-0.4749846505380759,pre
201905,32.909090850415744,33.138393,-0.22930255168386537,pre
201906,25.835644789414435,26.106989,-0.271344117445917,pre
201907,23.965589980062468,24.221973,-0.256383439126985,pre
201908,23.66405158534443,23.854443,-0.19039101109111556,pre
201909,35.658003553448204,34.925022,0.732981428204063,pre
201910,30.89224755492304,30.642689,0.2495588037023353,pre
201911,38.53625880141458,37.557827,0.9784318055649734,pre
201912,33.80390665458063,34.57306,-0.7691524274506207,pre
201913,31.076434044995,31.791515,-0.7150813053467964,pre
201914,30.59063633141064,30.905722,-0.3150853330180716,pre
201915,29.42826899985977,28.717854,0.710415453717193,pre
201916,30.30965559598337,30.330833,-0.02117783907522508,pre
201917,27.57673978348999,27.654163,-0.07742357710571213,pre
201918,24.588419984227137,25.253395,-0.6649750963392691,pre
201919,25.20631092711694,23.92841,1.277901350700926,pre
201920,24.76670437124797,25.136293,-0.36958904000691106,pre
201921,22.48498679922876,22.766705,-0.28171776009741123,pre
201922,18.392013049806,18.35636,0.035653567994476276,pre
201923,14.975631895464227,15.934897,-0.9592655273263002,pre
201924,15.150842090694676,15.776979,-0.6261373557164571,pre
201925,16.046666090177204,15.94427,0.1023959562050365,pre
201926,15.917894394694686,16.000265,-0.08237072676527468,pre
201927,16.37152479112077,16.147953,0.22357175767350412,pre
201928,18.762355509980708,19.218353,-0.4559977615036672,pre
201929,19.77410495630517,20.506214,-0.7321091855405335,pre
201930,18.87899563152165,18.82012,0.058875773733564785,pre
201931,19.363122520228227,19.629885,-0.2667621996204055,pre
201932,20.78219807432592,21.130676,-0.3484781952053311,pre
201933,22.158197467889543,22.1012,0.05699736412977785,pre
201934,24.21050685262156,24.289736,-0.07922894144582315,pre
201935,24.402927906297755,24.022976,0.3799519846668957,pre
201936,25.961752137767643,25.507603,0.4541494461172526,pre
201937,27.90403386776706,26.532204,1.371830193450652,pre
201938,27.84084486540556,28.576927,-0.7360823196530326,pre
201939,32.2299283330056,33.56969,-1.3397623713401003,pre
201940,34.22689615332042,35.579506,-1.3526097670897386,pre
201941,37.01678275426634,36.349293,0.6674899991393843,pre
201942,37.7436752310821,36.86916,0.8745155325957725,pre
201943,40.48737703046344,41.13885,-0.6514741353080424,pre
201944,42.08768970052401,42.17027,-0.08257931192716228,pre
201945,41.33604679642528,41.672108,-0.336060900107924,pre
201946,42.15661181797868,42.014072,0.14253939976578778,pre
201947,40.18003353566783,39.33892,0.841112942406113,pre
201948,40.2422092388176,40.01872,0.22349051933517927,pre
201949,39.99489222145652,40.784363,-0.7894705715122328,pre
201950,47.59107308935832,47.75172,-0.16064733910847906,pre
201951,43.42969593127569,43.462715,-0.03301921765009297,pre
201952,49.05873396232015,49.224285,-0.1655511634122746,pre
202001,47.691716130170434,46.526775,1.164940770063012,pre
202002,37.93515677717346,37.33992,0.5952367332281483,pre
202003,35.66222683001244,36.736774,-1.074547614567635,pre
202004,31.34798423328133,31.848112,-0.5001278730419116,pre
202005,26.8990454408459,26.442116,0.4569296571544932,pre
202006,25.4826792417833,25.26395,0.21872889388290773,pre
202007,24.53065218653452,23.811295,0.7193576308704586,pre
202008,22.36074104966392,22.73282,-0.3720794612003395,pre
202009,21.98708283002296,22.17833,-0.1912466377504778,pre
202010,22.230058360900063,23.368671,-1.1386130563362649,pre
202011,28.971371147637115,27.397697,1.5736736989066458,pre
202012,28.13449224452944,28.237352,-0.10286012668638023,pre
202013,25.458829494058467,25.391941,0.06688842350182611,pre
202014,24.38945563577366,25.807827,-1.4183713600759482,pre
202015,25.32849711603768,24.251036,1.077461425730064,pre
202016,25.17035080059264,25.120483,0.049867402155140184,pre
202017,22.287098741078765,23.017262,-0.7301627640481883,pre
202018,21.37027597820902,22.120548,-0.7502722700819966,pre
202019,20.285033276670305,19.696499,0.5885344058206954,pre
202020,19.192761863355862,19.011652,0.18110987055801075,pre
202021,17.898993700427667,17.60287,0.29612275926555753,pre
202022,16.002874087962365,16.533283,-0.5304091456802134,pre
