year_week,pm25_obs,pm25_cf,att,period
201801,75.70798927818197,74.40013,1.307858052596032,pre
201802,80.0692915024814,78.00957,2.059724241739218,pre
201803,84.000559367441,85.98619,-1.9856314284574381,pre
201804,71.12082572574843,71.746544,-0.6257181585289118,pre
201805,66.49279928248953,67.65253,-1.1597275729792216,pre
201806,79.01976009284883,82.46361,-3.4438476952371104,pre
201807,104.03091685129496,102.171326,1.8595911677012111,pre
201808,54.09234688975697,53.32703,0.7653167078722021,pre
201809,38.918338733503866,43.633553,-4.715213817765665,pre
201810,36.5105115919707,38.674557,-2.164045140207037,pre
201811,42.30183047131981,41.54393,0.7579004176088731,pre
201812,45.665097212620125,41.79706,3.8680391071513753,pre
201813,40.77868524827511,43.352722,-2.57403691969364,pre
201814,41.48862890939707,40.481316,1.007313296604103,pre
201815,39.25850401977964,39.58568,-0.3271740808062944,pre
201816,35.930022536863,36.659218,-0.7291952976096567,pre
201817,33.175729172755034,35.45888,-2.2831522054187943,pre
201818,33.69393925138554,32.99544,0.6984978146179586,pre
201819,34.24211938224261,32.79933,1.4427877172035508,pre
201820,30.010534164432297,33.200527,-3.1899930267298124,pre
201821,38.48866533139339,37.78029,0.7083766351043295,pre
201822,37.11233961068165,35.66102,1.4513212390996202,pre
201823,28.360823049653145,27.359518,1.0013049985056846,pre
201824,28.537060835316066,29.79534,-1.2582787490345204,pre
201825,24.49468235774811,26.369957,-1.8752746124667325,pre
201826,23.56485217804507,24.128798,-0.5639453530828611,pre
201827,26.6330243949436,25.21686,1.4161645774387175,pre
201828,25.746609840061847,23.934933,1.8116771313216127,pre
201829,27.97362870441164,27.323158,0.6504704402514854,pre
201830,23.930530544731187,24.153456,-0.22292518952174234,pre
201831,21.84389267556667,22.778336,-0.9344428957223911,pre
201832,25.62320410852499,25.731863,-0.10865891332559485,pre
201833,26.66751269257069,26.38257,0.2849424258470563,pre
201834,28.956062926811832,29.8497,-0.8936380009225431,pre
201835,27.677352506225176,29.27844,-1.6010879692386908,pre
201836,31.388827534386422,30.766424,0.6224033553092738,pre
201837,37.6292746832974,34.734795,2.8944800665981845,pre
201838,30.85198430578548,31.319712,-0.4677273793951855,pre
201839,31.03075198732564,33.461258,-2.430505947244672,pre
201840,39.21137271013998,38.951744,0.2596286305501394,pre
201841,43.60173333151341,41.865643,1.7360907839059863,pre
201842,45.73618393141214,40.598755,5.137429048599643,pre
201843,37.317301728326086,36.666794,0.6505079050838987,pre
201844,44.446811093136944,41.376663,3.0701478851291313,pre
201845,38.58668170839845,39.595604,-1.0089222344726423,pre
201846,41.10863126640252,42.290268,-1.1816366779334189,pre
201847,46.01585907108474,45.23963,0.7762274182527094,pre
201848,79.23995920178704,80.04229,-0.8023305320996741,pre
201849,70.88687026600637,65.502785,5.384085537002463,pre
201850,79.08118643925984,77.0121,2.0690862195332755,pre
201851,61.59696066691574,65.08105,-3.4840863911897273,pre
201852,69.35961268195128,70.949554,-1.5899417614080988,pre
201901,122.19052573175657,129.27612,-7.085597315118434,pre
201902,126.6710829991684,122.344696,4.32638695424653,pre
201903,101.57404765674616,100.59663,0.9774213750078786,pre
201904,106.20993511254446,108.46102,-2.2510863107953867,pre
201905,96.60072570909854,95.52791,1.072817383903228,pre
201906,77.9144680755638,80.58915,-2.6746813995338528,pre
201907,61.127233802239104,65.388374,-4.261140526374177,pre
201908,64.05000968135901,63.57818,0.471831275597296,pre
201909,49.19969685921038,47.87737,1.3223279322084238,pre
201910,43.53780989026736,40.911983,2.625826400277127,pre
201911,43.09053078698827,43.528313,-0.4377818961172011,pre
201912,39.57116684126211,40.242027,-0.6708604414527315,pre
201913,36.93444050832137,37.277687,-0.3432465644325333,pre
201914,36.29985616252075,36.212135,0.08772084757934095,pre
201915,35.30147192062732,35.11583,0.1856424528538838,pre
201916,33.33402861049753,34.633026,-1.2989975125493416,pre
201917,36.13961578722227,35.539566,0.6000497471832063,pre
201918,35.363504431945934,33.088654,2.274850867492809,pre
201919,34.02250930995427,33.182514,0.8399951192804451,pre
201920,36.95274311014584,39.148094,-2.1953510671002547,pre
201921,36.103439469327526,35.772026,0.33141340731580726,pre
201922,24.93684165490438,27.181805,-2.244963002078041,pre
201923,24.28754766388404,23.837042,0.45050580902564263,pre
201924,24.941467770713533,25.462324,-0.5208563717425214,pre
201925,23.041896428171032,23.961931,-0.920034800466663,pre
201926,23.721572558580046,25.830004,-2.108431179823274,pre
201927,25.85230826879684,25.616808,0.23550033117476943,pre
201928,24.77506015020359,23.427586,1.3474745483969492,pre
201929,25.20528355449079,24.584597,0.6206869205796579,pre
201930,22.61587205809071,23.329248,-0.7133763702540179,pre
201931,20.69120225588765,21.624163,-0.9329604180625459,pre
201932,24.40155783265829,24.356188,0.045370012223720835,pre
201933,26.32514667084278,27.873741,-1.5485944790595632,pre
201934,29.25101260460864,27.855417,1.3955953530217258,pre
201935,29.035146354258504,27.641296,1.3938499675397544,pre
201936,30.895118888400106,30.6077,0.28741854049971494,pre
201937,35.06943675422094,34.300545,0.7688920154514065,pre
201938,31.29504616576831,32.94052,-1.6454750744660664,pre
201939,32.38490671332575,32.547356,-0.16244893852972098,pre
201940,36.09989424907658,34.604042,1.4958521958539208,pre
201941,35.6549462840373,36.102486,-0.4475393727009802,pre
201942,38.06492567486582,38.19362,-0.1286930995482436,pre
201943,35.58715592878804,35.4058,0.18135606306538676,pre
201944,48.67062710021365,49.603413,-0.9327855279601778,pre
201945,50.69194322549741,52.60409,-1.9121484187896982,pre
201946,44.78521889772643,42.744778,2.040441218283071,pre
201947,41.00770788848524,43.264446,-2.2567383700596793,pre
201948,60.63885895766233,58.82158,1.8172799781701414,pre
201949,67.11583243562505,67.78913,-0.6732987289257295,pre
201950,81.18150885013213,84.7471,-3.5655919799459923,pre
201951,56.39426546420477,55.257133,1.1371319803180526,pre
201952,59.60965561495615,64.22941,-4.61975264920401,pre
202001,82.78948768279666,83.32353,-0.5340444216955262,pre
202002,53.16086577113592,57.719337,-4.558471692242989,pre
202003,80.42536762864249,77.89792,2.5274489274706156,pre
202004,78.299458178842,80.66081,-2.3613541990876854,pre
202005,68.88044813393118,64.59279,4.2876594376421195,pre
202006,48.23441834298983,50.21855,-1.984133292752361,pre
202007,39.93052470164533,41.306458,-1.3759328178859178,pre
202008,45.46887261666003,44.38103,1.0878415802830759,pre
202009,42.04464766270589,43.583626,-1.5389781307511399,pre
202010,37.528928389761646,35.691734,1.837194075796802,pre
202011,39.9743038097762,40.63281,-0.6585048755265319,pre
202012,43.91853762579416,41.39807,2.5204663367316584,pre
202013,39.76234984230518,34.983105,4.77924513649463,pre
202014,40.82334722626919,39.68868,1.1346684848141138,pre
202015,37.88056628109729,39.94464,-2.0640748321839624,pre
202016,31.32144050009908,35.37766,-4.056218343895061,pre
202017,32.097535923829376,32.48961,-0.39207284081906124,pre
202018,33.0620142522284,33.79405,-0.7320340570977706,pre
202019,32.78508302308832,29.559484,3.2255985412767956,pre
202020,35.32769199602047,31.878061,3.4496307014648053,pre
202021,27.84890322978857,29.85841,-2.0095066518032283,pre
202022,20.77551461235008,25.59007,-4.814556112137225,pre
202023,20.35816051761744,21.392042,-1.0338816424167412,pre
202024,19.77876364552189,20.634644,-0.8558799091656084,pre
202025,18.10553236569713,18.662418,-0.556885999781386,pre
202026,18.933803606373925,19.463646,-0.5298423286846692,pre
202027,20.283650195482963,18.64711,1.6365402101314004,pre
202028,20.61557330377897,18.678839,1.936734573920571,pre
202029,21.798848273691675,21.71718,0.08166802161647979,pre
202030,21.24280369118849,21.717606,-0.47480189963182085,pre
202031,17.44563300713755,18.537722,-1.0920886267735845,pre
202032,19.75228683599404,18.372288,1.3799990857498976,pre
202033,21.15086775818609,19.970514,1.18035346070074,pre
202034,22.396120043005265,22.301973,0.09414670010975712,pre
202035,25.80373632628701,25.330498,0.47323858458779,pre
202036,27.59909583749396,27.97244,-0.3733448821105334,pre
202037,29.497365998826563,29.215815,0.2815514083724615,pre
202038,27.350435306318325,26.694265,0.6561699407177386,pre
202039,27.40077823283969,28.925955,-1.5251765858858946,pre
202040,30.98023803175064,31.743273,-0.7630347496214291,pre
202041,31.527906528985863,32.2486,-0.7206934771176527,pre
202042,36.313453448103495,36.403046,-0.08959220619338026,pre
202043,37.90991115760525,38.578674,-0.6687631588009992,pre
202044,43.99361334725761,47.871655,-3.8780411632404395,post
202045,44.14943964764635,43.206818,0.9426220206932285,post
202046,46.56214519237121,51.18298,-4.620834391369023,post
202047,47.11628926654706,47.016216,0.10007298847088464,post
202048,68.85649707678498,58.565475,10.291021612917788,post
202049,87.28699512218293,70.34612,16.94087238048371,post
202050,97.68437932600376,85.639206,12.045173393386577,post
202051,82.67224209619337,71.468445,11.203797271974622,post
202052,104.26557689837831,93.91997,10.345609247011126,post
202101,97.19082283456824,106.60118,-9.4103581957052,post
202102,81.29860133949208,97.47138,-16.1727808016212,post
202103,74.35093041507434,92.45621,-18.10527686031628,post
202104,84.47013139545419,111.41493,-26.944800855522374,post
202105,72.79504305426421,88.66056,-15.865517553645944,post
202106,52.74847807387378,86.892685,-34.14420686264966,post
202107,57.90177271369525,79.386765,-21.484991812671936,post
202108,49.53869676684192,64.72853,-15.18983411694714,post
202109,46.25052261879437,62.23031,-15.979785913920473,post
202110,36.05543621438999,57.256626,-21.2011899147604,post
202111,38.13295668438015,59.24607,-21.11311417743626,post
202112,40.93323590490648,61.65084,-20.71760485437086,post
202113,37.02604607331043,56.42852,-19.402474129326286,post
202114,33.77776075551127,54.427917,-20.650156724957483,post
202115,32.65820860612143,52.9348,-20.27659058821451,post
202116,29.44930649093113,52.289127,-22.839820858922387,post
202117,29.33078804729196,48.52877,-19.197982399485383,post
202118,29.98459748054278,47.448345,-17.46374770378339,post
202119,30.33577567355406,45.79718,-15.46140450222719,post
202120,30.834454213798224,43.72382,-12.889365518867791,post
202121,25.096262294004184,43.971268,-18.87500540619113,post
202122,22.805926664542408,39.856895,-17.050968782234936,post
202123,22.356195605141952,37.8769,-15.520704114096329,post
202124,26.662565378229065,38.283924,-11.621358724554138,post
202125,21.61280683284141,34.27059,-12.657784902998433,post
202126,22.22740123019048,35.21276,-12.985359695102488,post
202127,22.43074413538547,33.554756,-11.12401202916531,post
202128,23.32860920352595,33.20379,-9.875179553798269,post
202129,21.380605307488217,33.2595,-11.878893288703189,post
202130,20.63430571129236,32.389706,-11.755399946666625,post
202131,21.59129393935488,32.869865,-11.278571478125588,post
202132,24.79364760256388,32.501152,-7.707504436010339,post
202133,23.06107280903668,32.613678,-9.552605169478944,post
202134,21.9204980661989,32.636017,-10.715518779504226,post
202135,23.030142417595428,34.615116,-11.584973701789337,post
202136,26.32266419160484,35.336815,-9.014150688766254,post
