year_week,pm25_obs,pm25_cf,att,period
201801,95.57509866308244,92.31696,3.2581354672816616,pre
201802,84.56790130526137,82.19728,2.37062042147231,pre
201803,113.2687480672314,117.735405,-4.466656901030319,pre
201804,98.90820256009556,97.14892,1.7592844082400916,pre
201805,102.68821327425184,103.65629,-0.9680748727208197,pre
201806,91.13922206197466,89.90842,1.2308053139277888,pre
201807,66.1914554459749,65.00538,1.1860767228303644,pre
201808,59.40215559747034,61.905396,-2.5032399103421596,pre
201809,60.72651447723025,61.15313,-0.42661510040646533,pre
201810,61.84910696864127,62.74633,-0.8972232925891959,pre
201811,54.515347659536765,54.725235,-0.20988732581479752,pre
201812,63.32601782861635,63.562515,-0.23649743017271163,pre
201813,54.85628028301966,56.1659,-1.3096209010623738,pre
201814,52.9219509046021,51.98709,0.9348598401489738,pre
201815,53.85077425937993,51.633247,2.217526883891651,pre
201816,51.57995246784176,51.24229,0.33766197101558504,pre
201817,51.86951692192854,54.484146,-2.6146291962355193,pre
201818,43.42473973753209,41.538383,1.8863562536453742,pre
201819,39.690098209528806,43.65795,-3.967853145451663,pre
201820,41.73047099478904,38.920563,2.8099082506484123,pre
201821,45.05231567528418,42.77838,2.273934327627927,pre
201822,48.382045646383645,48.10099,0.28105535097348877,pre
201823,38.04089578883669,40.183075,-2.1421791623351822,pre
201824,33.30951019559304,33.570877,-0.2613668796022708,pre
201825,31.998637197911385,30.186632,1.8120050415393152,pre
201826,30.5001905496142,28.16976,2.3304307992479885,pre
201827,30.850021632508152,28.221796,2.628225596741551,pre
201828,28.34924840239968,27.110659,1.238589756769798,pre
201829,26.848757482009805,26.667402,0.1813552145537507,pre
201830,24.639778201021983,26.01045,-1.370672162137197,pre
201831,25.0258893043524,28.013937,-2.9880476921075605,pre
201832,27.17156275272698,29.161882,-1.9903196477857144,pre
201833,24.55708011244001,25.91688,-1.3597995414906556,pre
201834,25.05785464225857,25.030148,0.02770708976833447,pre
201835,25.31019609700065,26.320635,-1.0104387449182965,pre
201836,26.928069742323107,28.053015,-1.1249450129259166,pre
201837,27.258770009529663,27.711828,-0.4530582222818609,pre
201838,28.156768371604755,26.232183,1.924584915183857,pre
201839,29.56365086232744,28.772257,0.7913940111311497,pre
201840,38.10447804370913,35.736767,2.367711228523582,pre
201841,39.43459722704341,41.0009,-1.5663030415112758,pre
201842,37.993370127008006,44.820923,-6.827552724554494,pre
201843,49.83775529661296,50.097248,-0.2594927807796168,pre
201844,46.42555285950574,45.305084,1.1204686309901177,pre
201845,45.00486069927855,43.609932,1.394928753477771,pre
201846,53.73511202390775,53.46121,0.2739036804018937,pre
201847,77.13453565033277,71.82874,5.305792669375734,pre
201848,106.03312405774707,100.415794,5.61732968518848,pre
201849,80.89534588343227,75.747665,5.147680478158833,pre
201850,74.83400551313812,82.73616,-7.902154765182189,pre
201851,61.21189459489461,66.58718,-5.375286496413985,pre
201852,69.053425889529,70.24441,-1.1909817642795986,pre
201901,83.50930551514718,84.62098,-1.1116737939348553,pre
201902,77.85775748764593,76.34125,1.5165099290521766,pre
201903,93.4483527650379,93.466,-0.017650652930853994,pre
201904,78.59875340057555,78.5346,0.06415409637632763,pre
201905,75.36492091471135,74.63041,0.7345116739886919,pre
201906,75.10190112041998,76.58367,-1.4817704494042374,pre
201907,65.39207934020247,62.4196,2.972477899772784,pre
201908,77.89536270111907,79.83164,-1.9362794497598372,pre
201909,76.4416024658907,78.400826,-1.959223034597585,pre
201910,67.94909190873065,64.71845,3.2306394551173696,pre
201911,58.0392013926249,56.573875,1.4653259653788098,pre
201912,53.98706762833366,54.290154,-0.3030858750843066,pre
201913,54.469455911427744,49.3647,5.104755594044931,pre
201914,53.83038346097016,52.541073,1.2893106155111766,pre
201915,53.57229513645747,51.093643,2.4786519479809073,pre
201916,47.922532442500376,50.28726,-2.364725705692983,pre
201917,39.77023721482925,43.244827,-3.4745900556785614,pre
201918,37.80272460126735,40.11806,-2.315336464406478,pre
201919,38.20674250079854,38.674595,-0.46785237835185,pre
201920,39.478994603707854,37.912495,1.5664999442840255,pre
201921,36.75292773921872,35.507908,1.245019871787079,pre
201922,34.22017988126578,33.424126,0.7960542098790597,pre
201923,35.72510289626996,33.048065,2.6770377107230843,pre
201924,34.08740562460951,31.732775,2.354630890112439,pre
201925,34.59470390143366,29.039877,5.55482696356745,pre
201926,31.1412152031549,28.675058,2.466156838286736,pre
201927,29.228778977815857,24.558298,4.670480866853943,pre
201928,26.67847330273376,26.0184,0.660073110473018,pre
201929,24.00490045788359,25.865442,-1.8605418181173867,pre
201930,22.74705895819205,23.043562,-0.2965029772327554,pre
201931,18.952488667115663,22.264772,-3.31228374804547,pre
201932,19.641668331215065,22.148195,-2.5065269355085675,pre
201933,19.973571363089416,24.097158,-4.12358706891742,pre
201934,20.85266336095636,26.47605,-5.623386062261414,pre
201935,21.545673696455115,23.580198,-2.0345245915087524,pre
201936,24.95061258214163,25.038877,-0.08826490504098672,pre
201937,27.034075547226937,28.278563,-1.24448699854943,pre
201938,26.168183847230672,24.882479,1.2857051332414144,pre
201939,28.745089865041543,30.555292,-1.810202264475059,pre
201940,33.43856653557361,34.669342,-1.2307755054420184,pre
201941,39.17752283175887,38.149773,1.0277501877159025,pre
201942,38.01208489552566,41.63847,-3.6263848005192614,pre
201943,50.46997873767217,52.684204,-2.2142253638903284,pre
201944,57.50965782118128,53.168472,4.341185531142216,pre
201945,47.38161902539128,49.602665,-2.221045922118485,pre
201946,51.52591870321404,50.265,1.2609193135656014,pre
201947,46.96492246229415,46.49406,0.4708619459367256,pre
201948,57.97256544954805,56.177883,1.7946823013546904,pre
201949,63.01815211659991,61.427322,1.5908297289045947,pre
201950,68.04819720421199,70.72551,-2.6773124393426997,pre
201951,56.66212648535911,62.468163,-5.806036051261984,pre
201952,62.92434252120784,62.912994,0.011348136442215662,pre
202001,65.97821007519435,66.174515,-0.19630469531345796,pre
202002,61.775558845155125,61.708412,0.0671466747449685,pre
202003,81.90847172002566,77.1408,4.76767124395144,pre
202004,64.61193293439217,69.20437,-4.592435656916422,pre
202005,53.349663140584894,54.210175,-0.8605114199619806,pre
202006,45.92189862890293,46.893124,-0.9712249978060541,pre
202007,33.6276351588759,36.62135,-2.9937141758409,pre
202008,42.23147709036042,41.93229,0.29918796682526505,pre
202009,43.48677083896671,45.131805,-1.645034580955162,pre
202010,44.30660228066643,45.20762,-0.9010164327124741,pre
202011,44.85659256040199,42.66703,2.189562225929336,pre
202012,37.23334855840188,39.41363,-2.1802828808071055,pre
202013,37.43811380033125,35.616974,1.8211399233781265,pre
202014,39.27217997510944,38.97622,0.2959607978633443,pre
202015,40.82892229719505,38.5725,2.2564239756618463,pre
202016,40.86304542750404,42.757874,-1.8948281076522093,pre
202017,37.47593586779497,36.148193,1.3277425084199734,pre
