year_week,pm25_obs,pm25_cf,att,period
201801,126.8134516729346,129.14005,-2.3265934930810204,pre
201802,134.92759046130664,135.5025,-0.5749119800996141,pre
201803,162.29604618765876,157.28923,5.006815840979073,pre
201804,123.62857204744166,124.20247,-0.5738968246286476,pre
201805,103.7162118277576,111.329704,-7.613492456910365,pre
201806,102.65279168260663,100.18441,2.4683815873917894,pre
201807,98.94942934474832,100.64909,-1.699664283181363,pre
201808,84.91817011846672,88.21688,-3.2987106798731247,pre
201809,84.13654933523351,80.164604,3.971945148221792,pre
201810,75.28572681870205,71.66034,3.625387463233295,pre
201811,65.38048465807327,69.3857,-4.005211753059541,pre
201812,61.391311178620704,63.260998,-1.869686593596093,pre
201813,58.49392930635978,58.889225,-0.395295699743734,pre
201814,57.20627066601941,53.73446,3.471811742679563,pre
201815,54.02460761756068,50.76736,3.2572469303048237,pre
201816,49.94571674326488,50.87438,-0.9286614610808215,pre
201817,45.51205997780953,46.892315,-1.3802549330791436,pre
201818,45.61881852655248,47.9929,-2.374082321836191,pre
201819,40.18815757101699,41.34924,-1.1610817783482474,pre
201820,39.42927643141565,39.261837,0.16743942580041704,pre
201821,50.418613151890895,47.501408,2.9172055285998795,pre
201822,40.49830284045992,46.23968,-5.741378403436563,pre
201823,36.05750754336516,36.538624,-0.4811162664492912,pre
201824,30.08653701564812,31.20804,-1.1215032217786387,pre
201825,29.806093105082027,31.538494,-1.7324010050253946,pre
201826,30.24907877148204,29.647049,0.6020298212867274,pre
201827,30.09560211730287,30.026186,0.06941612792298812,pre
201828,29.819220983885582,28.336504,1.482717001341637,pre
201829,29.523180638120287,29.354998,0.16818300323259194,pre
201830,26.033116750360552,25.858187,0.17493002855879425,pre
201831,27.97598251825056,27.960342,0.015640111023998315,pre
201832,30.1949039626549,29.975023,0.2198806930015813,pre
201833,29.82014548044403,28.868435,0.9517105744381702,pre
201834,30.725899079505886,31.192234,-0.46633495980075423,pre
201835,33.81974069690704,32.6859,1.1338390550613369,pre
201836,32.05417273138169,31.935925,0.11824820135239378,pre
201837,34.40468043984307,36.448196,-2.043515971289743,pre
201838,34.72708641361729,35.72526,-0.9981752746151287,pre
201839,36.16058685330383,35.741962,0.41862442044250514,pre
201840,50.78364312451271,44.758415,6.025227902344739,pre
201841,54.71672712762409,52.333096,2.3836315770869803,pre
201842,53.437573044318,54.178104,-0.7405313563167653,pre
201843,61.94111709655101,62.44992,-0.508803557745864,pre
201844,74.0209254782883,71.51213,2.5087947409836175,pre
201845,70.67082511122986,68.92018,1.7506438368157973,pre
201846,73.86288422049246,77.44595,-3.583069148648164,pre
201847,98.87377655293696,97.42174,1.4520388820385222,pre
201848,156.923839243588,153.71385,3.209987314877054,pre
201849,111.10386462364674,113.48073,-2.3768635257673196,pre
201850,146.22629135131837,140.00955,6.216739349365241,pre
201851,151.85303544895322,147.10768,4.745354174539159,pre
201852,140.2095464390608,137.22385,2.9857000035139265,pre
201901,154.61969869744212,157.36362,-2.743918245917257,pre
201902,137.00907978581992,135.9174,1.0916756110152335,pre
201903,122.00502801593144,121.1078,0.8972246712048815,pre
201904,115.33890583549278,117.25656,-1.9176554438040938,pre
201905,111.38565549368826,110.77294,0.6127139043327929,pre
201906,108.67772754839366,108.374176,0.303551523003037,pre
201907,109.58247915970712,106.50233,3.0801521943750885,pre
201908,116.9935507549126,118.00904,-1.0154900776069269,pre
201909,82.8200720437452,86.26636,-3.446285378129801,pre
201910,70.29982273740725,67.924126,2.3756970660205354,pre
201911,57.66673522973663,59.366547,-1.6998114011227443,pre
201912,52.41988864159029,55.329014,-2.9091251828726,pre
201913,57.20347869891892,54.36655,2.836928253362281,pre
201914,58.63919462210792,58.28171,0.3574830437387817,pre
201915,49.20439644503594,49.743305,-0.5389087612628884,pre
201916,41.794199834406015,41.365948,0.4282521110173434,pre
201917,36.715236455002,37.642857,-0.927620142898391,pre
201918,38.64950352614797,38.379143,0.2703607649174984,pre
201919,35.18824147089718,37.80656,-2.6183190454602396,pre
201920,37.07497588908672,39.59981,-2.5248356648683554,pre
201921,33.775595137715335,33.08491,0.6906837912797883,pre
201922,31.3630339525976,28.943277,2.4197565935888115,pre
201923,31.30679195543676,28.783978,2.5228144468918394,pre
201924,26.16655600407309,26.173206,-0.006650325272612889,pre
201925,24.82783193844664,24.675919,0.15191335934507677,pre
201926,25.06767160242046,25.129509,-0.061837369747507864,pre
201927,23.961863886915506,24.677088,-0.715223896897971,pre
201928,23.21261711499505,24.045086,-0.8324687919873703,pre
201929,23.600657930853856,23.117607,0.48305081415463746,pre
201930,21.469836374207087,20.879839,0.5899974307256421,pre
201931,20.357646243998868,22.717592,-2.3599459953810147,pre
201932,22.029829949774083,24.969408,-2.9395780855042375,pre
201933,23.809458215728785,23.357704,0.45175405313112904,pre
201934,24.181374912765,24.378477,-0.1971021837926159,pre
201935,27.183139448855545,26.642155,0.5409847552520297,pre
201936,29.33841994238057,29.596943,-0.25852295923075985,pre
201937,32.72733196173518,33.044178,-0.31684604729802146,pre
201938,32.206656246206165,32.450935,-0.24427911756336584,pre
201939,34.85008360670613,31.60689,3.2431938819746833,pre
201940,33.45445891365252,34.396076,-0.9416172887400549,pre
201941,36.9973585458002,38.286922,-1.289563909033781,pre
201942,47.94288885240044,47.715633,0.22725546006645914,pre
201943,54.35941686676975,55.68528,-1.3258629794216574,pre
201944,78.01709636675744,77.32379,0.6933048628511926,pre
201945,78.67023281320893,78.73801,-0.06777377858794864,pre
201946,73.77998166738735,73.42128,0.35870176016078403,pre
201947,80.45242076506918,75.14082,5.311597400811365,pre
201948,95.47445441829716,94.320496,1.1539588128284066,pre
201949,99.58418311857034,98.47661,1.1075748422031495,pre
201950,107.78928151416778,105.542816,2.246465352058408,pre
201951,87.07316831374035,89.47853,-2.405362570048709,pre
201952,98.16375757860273,101.621544,-3.4577863056746168,pre
202001,112.26849340546352,115.47108,-3.202583559868515,pre
202002,107.9125015916006,108.20241,-0.28990624531346043,pre
202003,114.87489164573614,116.59179,-1.716897599869327,pre
202004,117.04111420000916,113.0464,3.994712222470099,pre
202005,101.3415072557622,96.074394,5.267113029687977,pre
202006,79.86521203391449,80.25653,-0.39131872780426136,pre
202007,61.58316726267673,59.438824,2.1443435627255596,pre
202008,63.51120972436622,64.36843,-0.857221366942376,pre
202009,60.198617435651066,62.934658,-2.7360406148860434,pre
202010,57.73730579333646,57.737656,-0.00034984631197687577,pre
202011,57.47209851100048,56.520233,0.9518653567036068,pre
202012,50.93255893511657,47.812847,3.1197117976653956,pre
202013,44.62637076167124,44.593796,0.03257498530405201,pre
202014,49.17660068618994,50.525425,-1.348824271085448,pre
202015,46.426462341474206,46.40868,0.017782379316003016,pre
202016,42.73943970395128,41.357082,1.3823573370079174,pre
202017,37.19942755749197,37.252934,-0.05350594470529302,pre
202018,36.6332639457289,37.044506,-0.4112421272691478,pre
202019,32.39835096640042,35.965206,-3.5668551798398127,pre
202020,33.05183164346432,34.898518,-1.84668596517826,pre
202021,33.61554252954324,32.432922,1.1826201662619908,pre
202022,31.537137088755767,30.087444,1.4496927833358448,pre
202023,32.566931593406764,30.756357,1.8105744004136,pre
202024,27.349339421109526,28.04182,-0.6924811050135204,pre
202025,25.09035023889372,25.29967,-0.20931902685335046,pre
202026,26.49312134206295,25.334316,1.1588050884008396,pre
202027,25.63580399454711,24.67194,0.9638641446935949,pre
