year_week,pm25_obs,pm25_cf,att,period
201801,63.05874100404613,61.8014,1.2573417730890952,pre
201802,55.57098972530302,58.952515,-3.381524923134478,pre
201803,93.09508706954122,94.731606,-1.6365184602439342,pre
201804,67.67983514347641,69.811714,-2.131879028886871,pre
201805,106.12740199653308,102.15615,3.971251178661987,pre
201806,85.32865045658748,86.60075,-1.2721033275922053,pre
201807,41.69626302566071,44.866055,-3.1697915092513966,pre
201808,41.56029011786232,43.266838,-1.706547955868146,pre
201809,43.22606037037146,48.512573,-5.2865128718160435,pre
201810,51.08806969243501,45.72975,5.358318105520951,pre
201811,43.96363260902145,45.86108,-1.897447560656282,pre
201812,51.726339548076695,48.02866,3.697679727520054,pre
201813,39.180591752262345,39.811466,-0.630874464778671,pre
201814,41.21796704351976,40.70529,0.5126752954728815,pre
201815,43.88313380340736,44.899723,-1.0165892495711546,pre
201816,41.17652979054905,43.01956,-1.843031977029078,pre
201817,47.171817755883936,45.663933,1.507884955590967,pre
201818,31.91604205674436,35.529057,-3.613014492327906,pre
201819,38.39957794754415,38.36477,0.03480896561055857,pre
201820,37.473900039226194,36.40386,1.0700418544117412,pre
201821,37.62581651956695,37.29716,0.3286554172720315,pre
201822,40.5661075971013,41.131203,-0.5650951006526057,pre
201823,31.805874209142864,31.398405,0.40746913406962193,pre
201824,28.86810312374433,28.84849,0.0196133623917909,pre
201825,24.12514032624868,24.290564,-0.16542325712534378,pre
201826,24.1325882467132,24.036985,0.09560284937433394,pre
201827,22.74820798414094,23.353708,-0.6055002830709739,pre
201828,21.47782144656724,22.050573,-0.5727519024317829,pre
201829,22.45145266393253,22.783865,-0.3324123110430577,pre
201830,30.404016985111355,26.15161,4.2524075643349875,pre
201831,26.297671936506102,26.600151,-0.3024791255056165,pre
201832,24.80651437775184,25.52749,-0.7209762380928879,pre
201833,23.694728613085218,24.687855,-0.9931261537604854,pre
201834,23.76287864399808,25.330378,-1.567498934737273,pre
