year_week,pm25_obs,pm25_cf,att,period
201801,55.80766365155352,55.492447,0.315216752139456,pre
201802,52.548714792756094,52.127113,0.4216014504709378,pre
201803,84.18036405402138,84.373726,-0.19336183709189925,pre
201804,60.601794199373046,61.23312,-0.6313257652265634,pre
201805,52.507757747990745,51.66886,0.8388963588305884,pre
201806,59.621550014915925,59.183117,0.43843310207412856,pre
201807,51.55291143027894,51.453568,0.09934392539612702,pre
201808,31.46001094860678,31.802113,-0.34210163073892375,pre
201809,33.737811339760114,33.6347,0.10311056461362966,pre
201810,33.46077593267248,34.207573,-0.7467970043392356,pre
201811,40.57982768260865,40.697155,-0.11732731617064474,pre
201812,37.92867723236541,37.678616,0.25006166229704974,pre
201813,40.04905350500629,39.94782,0.10123474890277606,pre
201814,36.47415751742146,36.509483,-0.035325819980883466,pre
201815,33.74134651297047,34.37453,-0.6331842792658549,pre
201816,45.10648823736963,44.10575,1.0007371997719758,pre
201817,37.052733332777024,37.90426,-0.8515253952503201,pre
201818,26.91865212044173,26.896791,0.021860662311848245,pre
201819,26.14320301265656,26.274317,-0.13111377506316657,pre
201820,25.54174384628972,25.60409,-0.06234589064875706,pre
201821,24.40095558793204,23.52598,0.8749755922044997,pre
201822,23.14930170022306,23.859844,-0.7105425075406124,pre
201823,20.21322662616912,20.306715,-0.093488385427559,pre
201824,22.3714431269992,22.365667,0.005775783859551353,pre
201825,20.49498672484781,21.255941,-0.7609546661434017,pre
201826,19.97412698194779,20.521013,-0.5468862779399046,pre
201827,20.16162353498028,20.857426,-0.6958021547169864,pre
201828,20.76193618913491,20.68627,0.07566642900307485,pre
201829,21.44495370792775,21.521774,-0.07682058406443915,pre
201830,20.91757939104708,22.445295,-1.5277159428152238,pre
201831,22.394576306160584,22.825876,-0.43129992980133025,pre
201832,24.580546870895912,24.097338,0.4832091481175915,pre
201833,25.29556872745355,25.947168,-0.6515996227661773,pre
201834,28.23023310503229,28.484863,-0.25463017621770945,pre
201835,25.79128087802836,25.975004,-0.1837233181386324,pre
201836,27.7397299448374,29.554281,-1.814551289903811,pre
201837,28.947874724922062,28.486559,0.46131581073749217,pre
201838,28.788610181749966,28.907644,-0.1190340901006195,pre
201839,31.89548962876376,31.698195,0.19729512497957913,pre
201840,32.29282135440906,32.757668,-0.4648461870948495,pre
201841,38.85206198132146,39.074257,-0.22219491565119398,pre
201842,29.97325914390356,29.989004,-0.01574499122827433,pre
201843,33.559638841067496,33.476265,0.08337388745421492,pre
201844,35.099448194030565,33.725365,1.374083508971971,pre
201845,35.90154795395747,35.70469,0.1968589280785622,pre
201846,32.053440718197145,33.260376,-1.2069352583653554,pre
201847,37.34843221255773,36.98197,0.3664604718350759,pre
201848,38.67102096733593,38.744617,-0.07359649482227582,pre
201849,36.3619976945366,36.25243,0.10956773237839457,pre
201850,37.02219981099006,37.22329,-0.20108967875603412,pre
201851,38.78033501772812,38.442223,0.33811242251327656,pre
201852,42.25816179902069,41.0559,1.202261225290222,pre
201901,45.141767125827926,45.132156,0.00961075375761311,pre
201902,44.086869437210616,43.36962,0.7172481603551475,pre
201903,50.51833955747741,49.14823,1.3701080511297548,pre
201904,52.32905254072234,52.20208,0.12697276777311828,pre
201905,32.69600339197569,32.587914,0.10808987879209297,pre
201906,26.85860955431157,27.197279,-0.3386694221288593,pre
201907,26.75644421180365,26.448488,0.3079559763300175,pre
201908,27.65293749429666,28.333582,-0.6806444301418182,pre
201909,32.86844652103952,33.298775,-0.4303281981987581,pre
201910,27.199269900693366,26.77208,0.42719043291992875,pre
201911,34.77861556383235,35.229958,-0.4513420167340527,pre
201912,33.31939694252699,33.217926,0.10147091713636769,pre
201913,30.23873858755524,29.385504,0.8532348186343413,pre
201914,27.31402538646403,26.864557,0.4494681202286799,pre
201915,26.461149321454943,26.186338,0.2748108967723262,pre
201916,27.958729793479645,28.08235,-0.12361998374203509,pre
201917,25.758183553165622,26.445555,-0.6873711801107447,pre
201918,24.10895345090117,24.072893,0.03606030820097317,pre
201919,23.91455431106419,24.148287,-0.23373250839381754,pre
201920,24.18848732065871,24.494688,-0.3062007133989084,pre
201921,22.90700580630132,22.884253,0.022753258083547223,pre
201922,19.18224502575018,19.92087,-0.7386248015203272,pre
201923,16.399149681231556,17.560795,-1.1616451490907096,pre
201924,16.408696367644126,16.98163,-0.572933957673257,pre
201925,16.55403249707479,17.252863,-0.6988304332230619,pre
201926,16.709498278600726,16.736473,-0.0269748048953673,pre
201927,17.01774249938291,18.145159,-1.1274162683172868,pre
201928,18.539227046866618,18.641521,-0.10229440699080428,pre
201929,19.353343441003776,19.177608,0.17573495101354197,pre
201930,18.532031284916968,19.759201,-1.2271697648877193,pre
201931,19.021856599785032,20.262758,-1.2409016552198509,pre
201932,20.25509663624167,21.121769,-0.8666723151743447,pre
201933,20.35288157481108,22.365204,-2.0123222826107963,pre
201934,22.70406523074685,22.20309,0.5009745630222397,pre
201935,21.97188530122753,21.793253,0.1786323562812413,pre
201936,24.50710067754043,25.053587,-0.5464862822984387,pre
201937,26.785975555126928,25.690535,1.0954409634521234,pre
201938,26.195331407737733,27.61828,-1.4229490030288687,pre
201939,29.528625184025305,28.891104,0.6375214395184692,pre
201940,30.45123962521553,30.278563,0.17267707943916122,pre
201941,32.9313579928799,33.22688,-0.2955211269931439,pre
201942,32.70504207911946,33.273003,-0.5679605453922605,pre
201943,35.403276283281194,34.93271,0.470567543046819,pre
201944,38.800272373057545,38.364613,0.43565979371184227,pre
201945,37.80512455062407,38.024956,-0.2198311988876469,pre
201946,38.30142901590608,38.812813,-0.5113837892697006,pre
201947,34.213182500562496,34.14273,0.0704517876718711,pre
201948,34.027578573683776,34.396805,-0.36922623588653636,pre
201949,34.79980850674293,34.621796,0.17801285244605225,pre
201950,41.67393378804965,41.36606,0.3078754384402771,pre
201951,35.502541348468334,35.08441,0.4181297273745841,pre
