year_week,pm25_obs,pm25_cf,att,period
201801,69.13544045642712,69.71901,-0.5835689429869433,pre
201802,64.98834818093651,65.8392,-0.8508546999228628,pre
201803,85.55339857298135,88.15872,-2.605323350846774,pre
201804,74.96842170808952,76.09682,-1.1283953085120402,pre
201805,80.03730506297094,80.86959,-0.8322856963063998,pre
201806,79.84688912681739,81.56447,-1.7175792569716748,pre
201807,58.89692111383619,62.38247,-3.485548063409901,pre
201808,64.64098878870752,64.61336,0.027631244762204688,pre
201809,65.89254823113481,65.889015,0.0035330333809042713,pre
201810,72.15498434153625,72.34276,-0.18777383717468865,pre
201811,59.81861769619167,60.62565,-0.8070308023434833,pre
201812,70.12821452576028,70.60089,-0.4726765875209651,pre
201813,67.14081208512187,67.229866,-0.08905394271016576,pre
201814,55.196890103577466,56.23624,-1.0393502833854242,pre
201815,54.943382332195085,55.68322,-0.7398375774728834,pre
201816,53.7484638267842,54.164185,-0.415720743528297,pre
201817,67.68583776612952,68.65348,-0.9676427636556326,pre
201818,48.17131704450672,48.139183,0.03213400007312828,pre
201819,43.864190333011074,43.848297,0.01589321387044862,pre
201820,42.26552317389511,43.292377,-1.0268542980287165,pre
201821,49.33057670696292,47.8214,1.5091770182422195,pre
201822,49.56495106720357,50.89717,-1.3322199533042394,pre
201823,45.08587531630198,44.25766,0.8282154041926049,pre
201824,39.09241663407144,38.767403,0.3250139851456595,pre
201825,34.058377373375585,34.142403,-0.08402527555019645,pre
201826,32.676374871322906,32.6591,0.017275292465484426,pre
201827,32.28422044051261,31.949669,0.3345515562352688,pre
201828,31.03959995700928,29.803432,1.2361674924096704,pre
201829,30.1903281471332,29.044628,1.145700003822654,pre
201830,30.26527417256373,30.479914,-0.21463953898412313,pre
201831,27.888368698231968,28.270329,-0.38195982349654756,pre
201832,29.3193642390876,28.783306,0.5360581172614296,pre
201833,27.554341207663217,28.057377,-0.5030356539090484,pre
201834,27.09113699571936,26.914679,0.17645842211096152,pre
201835,27.031890901198256,27.23399,-0.20209881437791566,pre
201836,28.743814396377267,30.110014,-1.3661995654147248,pre
201837,27.217067423493383,26.529749,0.6873185068674061,pre
201838,29.84123773223884,29.84814,-0.0069029843138928015,pre
201839,31.46986433626285,31.359682,0.11018225313296881,pre
201840,36.12544838909556,37.345375,-1.2199266719395965,pre
201841,36.9499656481891,37.54561,-0.595642872318713,pre
201842,38.93605132749759,38.551327,0.38472457578860286,pre
201843,47.27762859978786,47.445324,-0.16769534430393662,pre
201844,41.64521356842265,40.23902,1.4061922671531164,pre
201845,41.42434338024803,41.423084,0.0012591212148294062,pre
201846,43.85113210527537,45.00956,-1.1584275260722876,pre
201847,68.26709728857449,67.827286,0.4398115219729277,pre
201848,93.38017993074511,94.36417,-0.9839863290205102,pre
201849,72.65581398447617,72.03935,0.6164615674839808,pre
201850,72.18186804601595,72.19362,-0.011750728398112642,pre
201851,60.66498266892617,61.627842,-0.9628592805367191,pre
201852,61.85864516389418,62.01372,-0.15507630217027213,pre
201901,79.6976058455993,80.52925,-0.8316452530335141,pre
201902,72.10619747543029,72.86805,-0.7618521461517389,pre
201903,94.1670673109974,95.240746,-1.0736782334361976,pre
201904,72.44682863480118,74.43056,-1.9837286161753838,pre
201905,63.62421071868015,64.369125,-0.7449146475307842,pre
201906,75.48940893145806,76.20615,-0.7167373087763167,pre
201907,62.48780005521576,62.422188,0.06561225003997606,pre
201908,71.76454603023551,72.27197,-0.5074266260144924,pre
201909,72.80754706530344,72.83035,-0.02280571789968633,pre
201910,66.94955843685872,67.54425,-0.5946920514225269,pre
201911,48.332835019046406,50.20504,-1.8722049589809373,pre
201912,50.17951678904623,49.63211,0.5474061933431074,pre
201913,50.75513662535987,50.596924,0.15821279723486725,pre
201914,49.79315692088327,49.811646,-0.018488586929230166,pre
201915,49.14337653348509,49.213943,-0.07056694796022356,pre
201916,43.2838924062668,43.49037,-0.20647929783476116,pre
201917,32.06201950265046,32.94428,-0.8822592143905581,pre
201918,33.372983956824726,33.076157,0.29682734061378824,pre
201919,36.65597234976363,35.36731,1.2886627794511298,pre
201920,33.48363097756569,33.65053,-0.1669007912331395,pre
201921,35.41164224507923,35.096756,0.31488626363391603,pre
201922,36.51415111931114,37.023582,-0.5094313391849568,pre
201923,32.906418609450846,34.399506,-1.4930870057835293,pre
201924,31.62790855820593,31.931643,-0.30373397414270187,pre
201925,29.13894526191672,30.084492,-0.9455464678196073,pre
201926,28.222321099082865,27.75576,0.4665609062117717,pre
201927,28.31736623722636,28.131844,0.185522670331828,pre
201928,26.3453372270704,26.557947,-0.21260993174307785,pre
201929,25.255393002731257,24.7384,0.5169934971160224,pre
201930,26.240218120223,25.363234,0.8769845539388186,pre
201931,19.53366920949776,21.61373,-2.0800602674309516,pre
201932,19.939366313917283,20.79477,-0.855402973192092,pre
201933,20.95598092907438,22.626328,-1.670346585574059,pre
201934,20.486101981165973,20.392014,0.09408843136128553,pre
201935,20.92426362002983,19.196674,1.7275892731060019,pre
201936,22.56475353077368,22.791742,-0.22698879405542272,pre
201937,23.02630606704448,22.324556,0.7017497163364723,pre
201938,23.24358764450873,23.659992,-0.4164045735088493,pre
201939,26.13994870061952,25.147518,0.9924305426605358,pre
201940,29.70166991668352,29.346287,0.35538314300188034,pre
201941,29.278670013102,30.172432,-0.89376193269878,pre
201942,32.54487466878976,33.156265,-0.6113905899993028,pre
201943,41.49429428069649,41.415367,0.07892715423164276,pre
201944,42.37515528675772,43.17742,-0.8022662830665013,pre
201945,39.45406148190671,39.858753,-0.4046917224389901,pre
201946,39.76220302296616,40.289024,-0.5268213300611819,pre
201947,37.05282967627528,36.66869,0.3841399484920771,pre
201948,45.042732033171966,45.737495,-0.6947633891913156,pre
201949,52.32109121470685,52.72316,-0.4020685753322155,pre
201950,55.437643695499474,56.46915,-1.0315068477134162,pre
201951,50.82379971502527,50.204517,0.6192823505233136,pre
201952,60.99125203592778,60.75868,0.23257359964848234,pre
202001,67.12476808969734,67.89784,-0.7730743175292218,pre
202002,67.05185778027277,67.67334,-0.6214820634772309,pre
202003,87.96054477689734,87.93555,0.024997901897336305,pre
202004,59.53707773893656,60.11878,-0.5817004898232057,pre
202005,49.65472543903103,50.044907,-0.39018117717990464,pre
202006,39.60388839923839,39.6401,-0.03621017253895076,pre
202007,30.85287634808996,30.37064,0.48223654706457,pre
202008,33.60287370289463,33.452724,0.15014924610751734,pre
202009,37.065560907956815,37.773834,-0.7082733205588099,pre
202010,39.161929546993136,38.688293,0.4736360899618859,pre
202011,36.06507962482132,36.401527,-0.3364477799638337,pre
202012,27.64105954167408,28.031803,-0.3907435894294373,pre
202013,28.01384480248518,28.17924,-0.1653944705861079,pre
202014,31.86666684112529,32.391144,-0.5244769577028343,pre
