year_week,pm25_obs,pm25_cf,att,period
201801,126.8134516729346,124.20531,2.608144666098667,pre
201802,134.92759046130664,132.70177,2.2258234935331984,pre
201803,162.29604618765876,159.15349,3.1425580284790726,pre
201804,123.62857204744166,122.88128,0.7472930557424462,pre
201805,103.7162118277576,100.997314,2.718897374632604,pre
201806,102.65279168260663,99.97227,2.680524531727727,pre
201807,98.94942934474832,96.72508,2.224346947287387,pre
201808,84.91817011846672,83.809784,1.108386182919844,pre
201809,84.13654933523351,83.66197,0.47457728933507326,pre
201810,75.28572681870205,74.645035,0.6406920286629827,pre
201811,65.38048465807327,63.74076,1.6397238548506152,pre
201812,61.391311178620704,60.13327,1.258040914948829,pre
201813,58.49392930635978,56.961254,1.5326751864867347,pre
201814,57.20627066601941,55.713917,1.4923538874549536,pre
201815,54.02460761756068,54.21714,-0.19253258019322317,pre
201816,49.94571674326488,48.40142,1.544296150003163,pre
201817,45.51205997780953,44.87685,0.6352098496357002,pre
201818,45.61881852655248,43.90178,1.7170393517477933,pre
201819,40.18815757101699,40.079998,0.10815955465956506,pre
201820,39.42927643141565,39.00939,0.41988464674768267,pre
201821,50.418613151890895,47.919556,2.499057487828395,pre
201822,40.49830284045992,41.947372,-1.4490695960635165,pre
201823,36.05750754336516,37.12847,-1.0709638311465568,pre
201824,30.08653701564812,29.545918,0.540619504661791,pre
201825,29.806093105082027,30.681795,-0.8757020151572306,pre
201826,30.24907877148204,31.196327,-0.9472484379906163,pre
201827,30.09560211730287,31.609438,-1.5138358252020119,pre
201828,29.819220983885582,27.820473,1.9987482666004261,pre
201829,29.523180638120287,28.050068,1.4731127365089591,pre
201830,26.033116750360552,27.93689,-1.903772898076948,pre
201831,27.97598251825056,28.566292,-0.5903092908314704,pre
201832,30.1949039626549,28.44226,1.7526432204674016,pre
201833,29.82014548044403,30.846296,-1.0261508299807751,pre
201834,30.725899079505886,31.97464,-1.2487408130722386,pre
201835,33.81974069690704,31.628223,2.191517277717587,pre
201836,32.05417273138169,33.85597,-1.8017957439601062,pre
201837,34.40468043984307,33.543354,0.8613264054192413,pre
201838,34.72708641361729,34.57807,0.14901481937901195,pre
201839,36.16058685330383,36.499954,-0.33936737032897923,pre
201840,50.78364312451271,49.01255,1.771092770508801,pre
201841,54.71672712762409,53.397713,1.3190144201045584,pre
201842,53.437573044318,52.348373,1.0891996312320629,pre
201843,61.94111709655101,60.914,1.027115631707261,pre
201844,74.0209254782883,68.30455,5.7163753073898675,pre
201845,70.67082511122986,70.5238,0.14702140029235977,pre
201846,73.86288422049246,77.67111,-3.808227840054414,pre
201847,98.87377655293696,97.294495,1.5792819240307097,pre
201848,156.923839243588,157.12404,-0.20019945270107087,pre
201849,111.10386462364674,111.85724,-0.7533741458845071,pre
201850,146.22629135131837,145.58282,0.6434666442871162,pre
201851,151.85303544895322,151.15486,0.698173998757909,pre
201852,140.2095464390608,137.84074,2.368802420506114,pre
201901,154.61969869744212,154.5733,0.04639547478586792,pre
201902,137.00907978581992,135.1543,1.854782910819921,pre
201903,122.00502801593144,119.45236,2.552665955384569,pre
201904,115.33890583549278,114.16133,1.1775746587349687,pre
201905,111.38565549368826,110.506454,0.8792010259148242,pre
201906,108.67772754839366,109.750336,-1.072608144965713,pre
201907,109.58247915970712,109.76779,-0.18531258833975528,pre
201908,116.9935507549126,118.15341,-1.1598611103217706,pre
201909,82.8200720437452,82.837845,-0.017772804887613347,pre
201910,70.29982273740725,67.92285,2.376971174907254,pre
201911,57.66673522973663,57.942383,-0.2756475827633693,pre
201912,52.41988864159029,51.685135,0.734753753894978,pre
201913,57.20347869891892,53.273445,3.93003356952439,pre
201914,58.63919462210792,54.517223,4.1219712639536255,pre
201915,49.20439644503594,48.576054,0.628342825651174,pre
201916,41.794199834406015,40.47174,1.3224591117497653,pre
201917,36.715236455002,39.931034,-3.215797633132766,pre
201918,38.64950352614797,38.771755,-0.12225169235789224,pre
201919,35.18824147089718,34.585617,0.6026244054674947,pre
201920,37.07497588908672,36.98956,0.08541671550273833,pre
201921,33.775595137715335,34.122353,-0.3467574623823211,pre
201922,31.3630339525976,30.907274,0.4557597063817802,pre
201923,31.30679195543676,33.143326,-1.8365338502273012,pre
201924,26.16655600407309,27.420881,-1.2543252672892145,pre
201925,24.82783193844664,25.124474,-0.2966416333307045,pre
201926,25.06767160242046,24.081314,0.9863575155063984,pre
201927,23.961863886915506,25.626127,-1.6642633561264866,pre
201928,23.21261711499505,22.733376,0.4792415656786453,pre
201929,23.600657930853856,22.21381,1.3868479638128406,pre
201930,21.469836374207087,22.048077,-0.5782402554315844,pre
201931,20.357646243998868,21.159836,-0.8021895714308194,pre
201932,22.029829949774083,24.412292,-2.382462530694667,pre
201933,23.809458215728785,26.160725,-2.351266424163793,pre
201934,24.181374912765,25.205864,-1.0244890398717175,pre
201935,27.183139448855545,25.302143,1.8809963519317172,pre
201936,29.33841994238057,28.124554,1.2138662619606464,pre
201937,32.72733196173518,28.896942,3.8303898230633067,pre
201938,32.206656246206165,33.9066,-1.699944705942272,pre
201939,34.85008360670613,31.861889,2.9881947212080817,pre
201940,33.45445891365252,32.55679,0.8976695154591638,pre
201941,36.9973585458002,36.26358,0.7337782235345784,pre
201942,47.94288885240044,49.512306,-1.5694173609784627,pre
201943,54.35941686676975,52.509964,1.8494528775119363,pre
201944,78.01709636675744,74.68703,3.33006938921838,pre
201945,78.67023281320893,77.05922,1.6110134528573639,pre
201946,73.77998166738735,73.651726,0.12825589834437778,pre
201947,80.45242076506918,79.25952,1.1928992806941778,pre
201948,95.47445441829716,95.22054,0.25391151058231287,pre
201949,99.58418311857034,99.62317,-0.038985826742163,pre
201950,107.78928151416778,106.42136,1.367925312995908,pre
201951,87.07316831374035,83.36743,3.7057366731153536,pre
201952,98.16375757860273,98.72925,-0.565490468272273,pre
202001,112.26849340546352,111.926254,0.3422391330025789,pre
202002,107.9125015916006,106.09669,1.8158142747060708,pre
202003,114.87489164573614,115.20279,-0.32789766090448325,pre
202004,117.04111420000916,116.99878,0.04233490313416155,pre
202005,101.3415072557622,100.971085,0.3704226610356329,pre
202006,79.86521203391449,78.416275,1.4489370095004261,pre
202007,61.58316726267673,62.728073,-1.144905857440456,pre
202008,63.51120972436622,64.163025,-0.6518151779775323,pre
202009,60.198617435651066,61.419945,-1.2213273275325278,pre
202010,57.73730579333646,57.132988,0.6043178172622419,pre
202011,57.47209851100048,57.236115,0.23598400904735684,pre
202012,50.93255893511657,48.526543,2.4060162715423488,pre
202013,44.62637076167124,45.326004,-0.699633266649073,pre
202014,49.17660068618994,50.516014,-1.339413412931151,pre
202015,46.426462341474206,45.369133,1.0573293458687374,pre
202016,42.73943970395128,43.78512,-1.045678399076067,pre
