year_week,pm25_obs,pm25_cf,att,period
201801,48.03183242957285,47.81977,0.21206161658457034,pre
201802,51.232770053390944,51.721252,-0.4884823880153064,pre
201803,69.94407573059627,70.6293,-0.6852272479193573,pre
201804,50.862694703508886,51.129177,-0.26648238999697327,pre
201805,62.71841883556955,63.853355,-1.1349365721452926,pre
201806,61.80666932837736,62.971313,-1.1646441481851397,pre
201807,60.35303508420904,61.865654,-1.5126189074901788,pre
201808,24.141816231166565,24.03424,0.10757550851031539,pre
201809,28.28087025824154,27.931877,0.3489931220110698,pre
201810,28.70803897172261,28.809464,-0.10142452925395418,pre
201811,32.18435322469278,32.39566,-0.21130717569784707,pre
201812,32.409777849831066,32.169914,0.23986360422559727,pre
201813,30.60101972803232,30.543537,0.05748258813974161,pre
201814,30.69472468992364,31.244328,-0.5496028552423766,pre
201815,35.22207519159528,35.27263,-0.05055359258440717,pre
201816,34.45037757875097,34.148636,0.30174171449315423,pre
201817,36.812548585831,36.717197,0.09535116761811224,pre
201818,27.1585263318046,27.530132,-0.37160596189657014,pre
201819,31.02742127924932,31.031246,-0.003824906053413457,pre
201820,28.32894344352092,28.61044,-0.2814958570161892,pre
201821,29.01223449900533,28.953667,0.05856781199361194,pre
201822,30.878760593215627,31.135101,-0.2563407251437475,pre
201823,30.38785531587828,30.184244,0.20361115999449098,pre
201824,27.0559688941808,27.96505,-0.9090808494715432,pre
201825,23.704775062987192,24.482374,-0.7775991282969876,pre
201826,20.34819521594766,22.3852,-2.037005284540623,pre
201827,17.62532036137676,19.597523,-1.9722023742189414,pre
201828,16.586828068707405,17.39397,-0.8071424207945483,pre
201829,17.62826896711765,19.110271,-1.4820024867397734,pre
201830,20.41272924033456,21.70757,-1.2948398819798932,pre
201831,19.677180446356903,20.618843,-0.9416626322563779,pre
201832,21.998783511122344,23.21165,-1.212867337266328,pre
201833,22.339250637898843,23.031965,-0.6927146178384618,pre
201834,23.327219441800505,24.093945,-0.7667251077600419,pre
201835,20.215370519046783,21.363794,-1.148423807735444,pre
201836,27.849719007926108,29.25964,-1.4099207320641263,pre
201837,26.383082338169103,26.198404,0.18467802603531425,pre
201838,23.923438897345445,24.896431,-0.9729920718928362,pre
201839,28.15257983284682,28.317757,-0.16517681998521283,pre
201840,29.63534910096086,30.215118,-0.579769307242266,pre
201841,35.25759551213161,35.239323,0.018272849778092848,pre
201842,33.22279984067847,33.42228,-0.199479517231687,pre
201843,36.765617473279065,36.66734,0.09827814832789272,pre
201844,40.56916353627887,38.939713,1.6294510118648091,pre
201845,28.761769126896088,29.049782,-0.2880126724203187,pre
201846,31.534082625628383,32.576912,-1.0428293006411486,pre
201847,33.16959044360512,33.289047,-0.11945679760582095,pre
201848,44.749140279292,44.924797,-0.17565677881346886,pre
201849,35.8536528571143,35.951126,-0.09747324151851444,pre
201850,54.11811483321714,53.69108,0.42703664718198553,pre
201851,51.3128424281887,51.308666,0.00417619894065524,pre
201852,50.081635370743584,50.608177,-0.52654181431501,pre
201901,43.0135872883598,43.580906,-0.5673186259468395,pre
201902,36.507307736054415,36.79196,-0.2846539338674603,pre
201903,56.76584527187972,56.91461,-0.1487665445265307,pre
201904,56.68126636497747,57.064518,-0.3832516098760479,pre
201905,44.23781652876157,43.87904,0.35877676435727324,pre
201906,37.56847395730735,37.2425,0.3259736521315659,pre
201907,25.577909810483188,25.796482,-0.2185722756984525,pre
201908,30.17889973484479,30.164047,0.014852493633853214,pre
201909,36.47305252801778,36.284813,0.18823960077168778,pre
201910,36.42258310859749,36.376022,0.04656076973030565,pre
201911,36.26763332400351,36.55701,-0.2893773266312536,pre
201912,34.08180928305595,33.906708,0.17510151938407148,pre
201913,31.90396565419328,31.312126,0.5918394945253098,pre
201914,32.562689011827466,32.146355,0.41633433653449714,pre
201915,33.057545622020776,32.717377,0.3401689130364005,pre
201916,34.25964782788582,34.54377,-0.28412200853995984,pre
201917,30.249568086040693,30.442194,-0.19262589894465876,pre
201918,27.087553876125384,27.52565,-0.43809614828867893,pre
201919,33.39240635393337,33.507156,-0.11475001813694519,pre
201920,33.176508616050086,33.043465,0.13304395540555447,pre
201921,30.93820380393664,30.398136,0.5400676650206258,pre
201922,25.32272459324681,27.18028,-1.857556092177994,pre
201923,27.60327378335965,27.290716,0.3125576120950022,pre
201924,24.92891284939221,25.577646,-0.6487334061009555,pre
201925,24.014451962004788,24.512985,-0.49853326748739946,pre
201926,20.91601101216513,22.562563,-1.6465519303397542,pre
201927,17.856753178284734,20.315273,-2.4585201066273754,pre
201928,18.25942284360655,19.376633,-1.1172098468231368,pre
201929,18.514835590425744,19.578396,-1.0635602530801158,pre
201930,19.04496559753757,20.898937,-1.8539716278042278,pre
201931,16.905207239822353,19.255762,-2.3505548603973736,pre
201932,19.18399085550038,20.397696,-1.2137046858814564,pre
201933,26.34100789540242,27.410667,-1.0696595240311737,pre
201934,25.76555246990853,25.940853,-0.17530064898795317,pre
201935,21.293303986000243,21.792454,-0.4991497798688975,pre
201936,27.14260313049077,28.013147,-0.870544223635207,pre
201937,31.565408338270995,30.763947,0.8014618050678699,pre
201938,25.98618926359564,28.264387,-2.278197867141664,pre
201939,34.025020322858325,33.00193,1.0230900860419183,pre
201940,35.45007052707462,35.69441,-0.2443378896734245,pre
201941,39.67223149989972,39.855675,-0.18344324375262033,pre
201942,37.11846233342659,38.269547,-1.1510841753624703,pre
201943,41.24862634734224,40.999702,0.24892389372895707,pre
201944,42.92623455407369,42.785915,0.140319179317828,pre
201945,37.20789059524133,37.29336,-0.08547106857702857,pre
201946,36.0104993358464,35.724926,0.2855733409733503,pre
201947,32.81251005317878,33.21035,-0.3978399834423172,pre
201948,35.58728603723806,35.018703,0.5685825765446992,pre
201949,37.22441297905736,37.46391,-0.23949617011255953,pre
201950,49.954084006421645,50.741886,-0.7878021324943703,pre
201951,33.56849105513584,33.201843,0.3666477934170871,pre
201952,32.58256456848484,32.920696,-0.3381316900600808,pre
202001,37.49113591095486,38.26607,-0.7749354086252183,pre
202002,28.646406630145787,28.202316,0.4440903459660994,pre
202003,35.26498980598932,35.812515,-0.5475254527997393,pre
202004,33.9981763323821,33.81332,0.18485617246999198,pre
202005,25.620419658719307,25.95817,-0.33775027841448235,pre
202006,24.041785505092523,23.41848,0.6233055856589296,pre
202007,19.44576457038508,19.391193,0.05457118049250198,pre
202008,22.945467092378006,23.155582,-0.2101153356005092,pre
202009,26.469661380582064,26.86207,-0.3924087030361001,pre
202010,26.720515448501423,26.087994,0.6325218266752515,pre
202011,27.75776919416675,27.758842,-0.0010732740949670472,pre
202012,27.3759364828769,27.15108,0.22485730502045342,pre
202013,26.35561401074078,26.445045,-0.08943146045062633,pre
202014,28.60144096195494,28.2976,0.30384116947447026,pre
202015,29.34891534199222,28.432137,0.9167788063476898,pre
202016,32.944696947631385,33.256847,-0.31215043396041153,pre
202017,27.72579856292036,27.184135,0.5416631259086415,pre
202018,27.54733266224073,27.715733,-0.16839991222216,pre
202019,27.31136516376336,26.865137,0.4462280635436322,pre
202020,25.88565365966065,25.177952,0.7077018469165104,pre
202021,25.31419704702922,26.752314,-1.43811656686238,pre
202022,21.23144821145226,21.9258,-0.6943521120340677,pre
202023,18.996043579853715,19.474388,-0.47834454270487825,pre
202024,16.627448877424897,17.390282,-0.7628327998211972,pre
202025,16.253023389142538,18.58246,-2.3294370142998453,pre
202026,18.1190747169352,18.664621,-0.5455466362142154,pre
202027,17.10578627795931,18.408493,-1.3027067640328767,pre
202028,18.26784277891332,18.3726,-0.10475777650660234,pre
202029,19.42679444558848,20.807575,-1.3807807802415972,pre
202030,19.86982537182456,20.241058,-0.371232977784814,pre
202031,16.032888802285484,18.110771,-2.0778823769137347,pre
