year_week,pm25_obs,pm25_cf,att,period
201801,118.58996489599475,119.01555,-0.4255838100599334,pre
201802,116.82371845347966,116.536865,0.2868532191046569,pre
201803,135.78748365854082,137.00333,-1.2158427574748032,pre
201804,114.47021573314213,113.685684,0.7845315290405637,pre
201805,84.2471749391045,83.69863,0.5485436524834029,pre
201806,89.14620189713297,88.758766,0.38743572281656213,pre
201807,88.43686505323399,88.00713,0.4297315693472683,pre
201808,78.9213122765734,78.74285,0.178461019249184,pre
201809,73.55842761471158,72.83394,0.7244890160787634,pre
201810,70.06660599758511,70.082855,-0.016249227024260904,pre
201811,66.95010944950013,66.55828,0.3918285046759138,pre
201812,66.96171153256994,66.31038,0.6513325042496234,pre
201813,59.85995118656613,59.857903,0.002048659710659706,pre
201814,57.24802244614678,56.661453,0.5865691990764645,pre
201815,54.97124964044208,55.53525,-0.5640019769895588,pre
201816,53.13303707935697,52.79949,0.3335451970327483,pre
201817,51.73191265736818,52.047832,-0.31591983164549475,pre
201818,48.74167390688356,48.912834,-0.17116026059690626,pre
201819,45.88704003978681,46.566505,-0.6794653923420952,pre
201820,45.19309521381764,45.669342,-0.4762468271979827,pre
201821,53.95710655721029,52.29717,1.659937825520835,pre
201822,48.59681231541861,50.25718,-1.660366944835296,pre
201823,47.86846379902249,47.559837,0.30862645771389907,pre
201824,46.0053415775072,45.514645,0.49069695470446817,pre
201825,42.555119093889246,42.391533,0.16358619594002732,pre
201826,37.28846077002101,38.195423,-0.906962356199692,pre
201827,31.83353584470068,33.396782,-1.5632460766860383,pre
201828,27.015892524157785,27.616278,-0.6003851705443637,pre
201829,28.304523328554065,27.823286,0.4812372720355107,pre
201830,24.97711219043803,25.568474,-0.5913616254799372,pre
201831,25.72433104236185,25.893776,-0.16944489757955594,pre
201832,27.86515433335797,27.877546,-0.012391977066833704,pre
201833,26.685467711613096,27.133223,-0.4477548683429582,pre
201834,28.47828152326176,28.141619,0.3366627946240648,pre
201835,30.37940946410832,30.715055,-0.33564600158992164,pre
201836,32.45668318103377,34.633087,-2.1764039771693575,pre
201837,36.30534127565709,36.39798,-0.09263846067103287,pre
201838,37.63740821092129,37.840954,-0.20354561598300336,pre
201839,39.744663675136685,39.583435,0.1612286165429353,pre
201840,46.984259008373535,47.83116,-0.846902490649903,pre
201841,57.731401864525786,58.087658,-0.35625606394101084,pre
201842,60.23009748705764,60.61329,-0.38319139233689015,pre
201843,57.08417991692253,57.5399,-0.4557218164759078,pre
201844,72.14600068744312,69.21573,2.930271927677495,pre
201845,67.00247435948907,66.693565,0.30890899083672707,pre
201846,66.6674701222749,68.52776,-1.8602932444243123,pre
201847,80.60570527516944,80.681984,-0.07627867258446486,pre
201848,129.07326865663984,128.9522,0.12107444277265245,pre
201849,79.46351655670573,79.0266,0.43691285797525836,pre
201850,114.57733222452798,114.17728,0.4000556131998536,pre
201851,122.1491580733692,121.465866,0.6832919845020058,pre
201852,130.54836588712837,128.75743,1.790934856854932,pre
201901,129.43777160869325,128.9791,0.4586761497088787,pre
201902,108.9398584921839,108.499954,0.4399042685510892,pre
201903,94.60025046622968,94.67282,-0.07257057869219352,pre
201904,92.19837390616398,91.93749,0.2608815355585108,pre
201905,90.62491782057356,90.147285,0.47763235914777624,pre
201906,92.23215660070088,92.680885,-0.44872871424053073,pre
201907,91.33980318550836,90.72633,0.6134695673442963,pre
201908,92.07158048522402,92.555626,-0.4840454303033255,pre
201909,70.5324109720641,70.695694,-0.16328299766246346,pre
201910,58.52491320525019,58.16416,0.3607515231212872,pre
201911,53.53444878103312,53.62297,-0.08852180002156729,pre
201912,50.04529705000781,49.737175,0.3081220622148422,pre
201913,53.9393299363873,53.03233,0.9070003770611308,pre
201914,55.84428453494254,55.666405,0.17787981082144455,pre
201915,50.57965329100138,50.72501,-0.14535662721151255,pre
201916,41.93590798695304,42.50268,-0.5667737452246939,pre
201917,40.501240877415455,41.388855,-0.8876141030532949,pre
201918,39.73428477533658,39.45929,0.2749952245553331,pre
201919,38.60255821876183,39.12153,-0.5189704067264529,pre
201920,36.39724641071047,37.126945,-0.729699084894996,pre
201921,32.37952083427707,31.999754,0.3797668822507063,pre
201922,28.6291974973633,29.806654,-1.1774564790771294,pre
201923,29.493129133420275,30.300081,-0.8069521196314824,pre
201924,28.52517831672737,29.06972,-0.5445409978478253,pre
201925,27.113675369588204,28.29809,-1.1844146114908973,pre
201926,27.227929467289748,26.513556,0.7143739405563494,pre
201927,24.85529328466029,25.237442,-0.3821487319412711,pre
201928,22.449791092777502,22.10578,0.34401144495035396,pre
201929,22.668096520175776,22.581976,0.08612058328612804,pre
201930,19.003477099941247,20.16715,-1.1636733974952769,pre
201931,18.00411163648954,19.424156,-1.4200445524753036,pre
201932,20.21907659618277,21.053682,-0.8346057310877377,pre
201933,21.956853927336443,24.658533,-2.7016791689770336,pre
201934,23.35018263596755,23.551098,-0.20091523390549781,pre
201935,25.96280417578662,24.218336,1.7444680704399396,pre
201936,27.53261280579316,28.785032,-1.2524194665457067,pre
201937,33.020326721116724,32.64825,0.37207614128274,pre
201938,32.459826225113865,34.366585,-1.9067585527181663,pre
201939,34.39852825095884,32.783207,1.6153213112615745,pre
201940,33.564229764444725,34.013313,-0.44908352901230586,pre
201941,38.75155229287507,39.46034,-0.7087862996542285,pre
201942,45.84559891443416,46.880722,-1.0351231314642746,pre
201943,49.67134518115648,49.99244,-0.3210940888630489,pre
201944,66.37304607176213,67.13364,-0.7605904028472423,pre
201945,68.43265967225453,68.849655,-0.4169954791126571,pre
201946,61.50932712325969,62.096916,-0.5875890754707811,pre
201947,63.44409265483832,62.44552,0.998574161185978,pre
201948,69.09178295868777,70.67633,-1.584547607718477,pre
201949,74.21974911810823,74.293884,-0.07413515923552438,pre
201950,85.14860389284836,85.30499,-0.15638878293289338,pre
201951,67.67492786537998,66.49984,1.175088082665141,pre
201952,77.68904632922758,77.71334,-0.02429443004976406,pre
202001,86.50182559004071,86.27138,0.2304480265641473,pre
202002,82.11933379991969,81.42755,0.6917825303884371,pre
202003,91.08075402477849,91.25778,-0.1770279576433893,pre
202004,89.5400206613115,90.44471,-0.9046891165205295,pre
202005,77.95176157664308,77.31389,0.6378730268383919,pre
202006,62.31166156708946,62.33545,-0.023787651660541087,pre
202007,50.94276934120627,51.037907,-0.09513730552224331,pre
202008,51.96474751233416,51.174583,0.7901640772755627,pre
202009,48.83753100983448,49.291813,-0.45428188689403726,pre
202010,47.8148600153091,46.910362,0.9044977716567573,pre
202011,48.129704738396086,48.50733,-0.3776271097484454,pre
202012,42.7498453360153,42.034794,0.7150514822555323,pre
202013,40.5651538808658,40.55777,0.007384105475175318,pre
202014,44.582219939917145,45.15203,-0.5698110049070735,pre
202015,42.51688821947931,41.447083,1.0698056999480627,pre
202016,37.39710874382087,38.033123,-0.6360142725365492,pre
202017,35.62695430515626,35.862602,-0.23564792873045803,pre
202018,34.141647366887405,33.673866,0.4677810949147485,pre
202019,32.82261486005925,32.456993,0.3656217570319029,pre
202020,29.60425094619054,28.51686,1.08739189162511,pre
202021,28.77989276473579,29.48233,-0.7024375575298336,pre
202022,25.17670447173087,26.493967,-1.3172625845435455,pre
202023,26.88317491277059,27.525927,-0.642751677195232,pre
202024,26.783329825018697,26.591436,0.19189343891029864,pre
202025,24.54129631631715,25.834759,-1.2934624422277707,pre
202026,25.19681603308093,25.580584,-0.383767539306767,pre
202027,24.8798860376438,24.719114,0.16077173405493284,pre
202028,22.23436882750016,22.606852,-0.3724827502586301,pre
202029,22.672299099110425,23.047892,-0.37559251771086366,pre
202030,20.76916212111385,21.711672,-0.9425097081097817,pre
202031,21.039827485602068,20.987123,0.05270399622218491,pre
202032,21.11155673755989,21.99933,-0.8877737830699921,pre
202033,21.93513904135568,23.366922,-1.4317833371843598,pre
202034,23.551984766710373,23.468779,0.08320615648088037,pre
202035,25.33230002612159,25.003298,0.32900222033545745,pre
202036,24.09040334686211,26.475842,-2.385438175354686,pre
202037,28.732441149339788,28.862495,-0.13005427302349304,pre
202038,29.68471925085215,28.824743,0.8599759799781275,pre
202039,35.6677483467938,35.259132,0.4086159615398941,pre
202040,38.24869181362027,38.33061,-0.08191655429965294,pre
202041,44.85096355812394,45.347473,-0.49650958640731346,pre
202042,55.0774737037865,55.459846,-0.38237279279552894,pre
202043,53.25724084441836,53.456482,-0.19924108917538774,pre
202044,55.43279707420984,48.673164,6.759632706534056,post
202045,54.60421332871021,47.23873,7.365481944432865,post
202046,52.84926517500767,40.67917,12.170096473835798,post
202047,53.75877094699008,44.55294,9.20583057833774,post
202048,62.51978686391236,58.681576,3.838211088765874,post
202049,68.5519349985865,81.58125,-13.029318053171309,post
202050,81.02366443709171,76.964066,4.059598885333898,post
202051,68.76605687015902,56.230644,12.5354126440848,post
202052,77.820363658511,85.74267,-7.92230449334447,post
202101,83.63043994876762,75.188156,8.442283820837929,post
202102,87.80030935262305,69.63663,18.16368215535742,post
202103,85.76669047551212,70.31601,15.450680954027746,post
202104,98.06333991862309,85.23119,12.832146376142617,post
202105,83.27235030118297,77.09129,6.18105696622203,post
202106,65.2927104387113,61.300785,3.9919253740140306,post
202107,53.57106413592611,50.403576,3.1674882387093106,post
202108,56.22717376770088,48.297203,7.929970703736039,post
202109,53.95054971051327,45.266476,8.684074033023037,post
202110,44.99794362050978,50.07069,-5.072746534519517,post
202111,49.81212029600994,57.394417,-7.5822965130720945,post
202112,47.38489315724373,54.172684,-6.787790558576582,post
202113,40.84786316160929,62.8666,-22.018736875011804,post
202114,42.19963050305843,59.25227,-17.052639241814617,post
202115,41.88438219214913,50.165466,-8.281084116444617,post
202116,38.34276206878821,50.04225,-11.699489518125851,post
202117,35.321897922334216,41.90552,-6.58362347048805,post
202118,33.74072040280061,39.25291,-5.51219021121306,post
202119,34.11396635627228,33.84121,0.27275694465118505,post
202120,32.40742173059214,37.0225,-4.615077353880515,post
202121,28.852604113107635,39.096756,-10.244151868337678,post
202122,27.05993431843995,36.340343,-9.280409156901847,post
202123,26.767235759031205,35.8708,-9.103564259279342,post
202124,27.06908445710621,33.77939,-6.710303970628164,post
202125,24.51383942729128,32.136986,-7.623146351517313,post
202126,24.56459488274369,31.754036,-7.18944106696334,post
202127,24.505038326973004,28.737707,-4.232668811088519,post
202128,20.027110580939443,29.460785,-9.433674331169932,post
202129,19.47530767839153,28.468554,-8.99324586469929,post
202130,19.31992986191742,28.855228,-9.535298562154846,post
202131,16.396437052392756,29.75626,-13.359822865820135,post
202132,18.471995677876905,27.382774,-8.91077867515044,post
202133,18.94691201944475,28.85048,-9.903567106531813,post
202134,19.694615701643176,29.398306,-9.70369019130116,post
202135,20.83206613640405,30.561,-9.728934687570561,post
202136,19.606499773811883,32.335754,-12.729254620719367,post
202137,23.37839863133486,33.608166,-10.229767109631936,post
202138,27.835582429900764,36.63989,-8.80430633352697,post
202139,26.69145668609529,40.177307,-13.48585044281096,post
202140,28.8953857845536,40.75705,-11.861663775993275,post
202141,35.61803267952756,44.533638,-8.915605320960722,post
202142,44.2941004480139,50.371906,-6.077805832503678,post
202143,55.66261446900169,54.93134,0.731275205085673,post
202144,78.61434928233449,57.943623,20.67072669322316,post
202145,74.67765176526166,57.318253,17.359399201785095,post
