year_week,pm25_obs,pm25_cf,att,period
201801,82.77505793831813,82.311134,0.4639235999392213,pre
201802,70.12405553090396,71.31335,-1.1892913318890095,pre
201803,120.45475616977328,121.53681,-1.0820556588400052,pre
201804,98.37073127170083,97.11585,1.2548789157438023,pre
201805,108.45304106194632,108.34053,0.11251066643851004,pre
201806,100.86361651220209,101.75802,-0.8944019814502582,pre
201807,80.38799122349516,81.99601,-1.608018603164993,pre
201808,57.624952898577305,55.025772,2.599180803850743,pre
201809,52.80637662590367,54.30741,-1.5010345679439894,pre
201810,48.01254921591282,48.324066,-0.311516946196555,pre
201811,48.50836090747515,48.134094,0.3742666691939007,pre
201812,47.365897776655096,49.04697,-1.6810725907765445,pre
201813,53.444438433386026,51.952618,1.4918207881223537,pre
201814,40.9538220313207,41.975792,-1.021969899831646,pre
201815,44.76966541741292,43.76124,1.0084273192683852,pre
201816,42.34974017956144,43.607327,-1.2575863280069228,pre
201817,38.67833431588178,38.897892,-0.21955768240923845,pre
201818,32.4553080786481,30.22355,2.231757282139313,pre
201819,34.31024577112364,36.28426,-1.9740140250189384,pre
201820,35.569887803150124,36.186554,-0.6166661519280012,pre
201821,36.2370821207932,36.797104,-0.5600217610427407,pre
201822,45.49524016723179,43.925926,1.5693139587356981,pre
201823,28.66554423882564,29.981474,-1.3159296839038532,pre
201824,30.31639068357149,30.511494,-0.195102999289837,pre
201825,24.01693527964917,24.231634,-0.21469886036547692,pre
201826,21.495642909687685,21.87,-0.3743579295457131,pre
201827,20.85681860251937,19.96497,0.8918489675096026,pre
201828,19.64155617689087,19.891554,-0.24999770189331016,pre
201829,20.26996661768756,18.921087,1.3488793526729133,pre
201830,21.099527804898923,20.881212,0.21831557040185245,pre
201831,22.82028177239865,21.790623,1.0296590612170107,pre
201832,24.333509780670035,23.68683,0.6466792600401519,pre
201833,19.30166631008181,20.941324,-1.639657923926979,pre
201834,21.514966386424643,21.157156,0.3578103958240568,pre
201835,20.39669415714264,20.667595,-0.2709007525253284,pre
201836,25.305913409527697,26.330847,-1.024933376971326,pre
201837,28.612329784893408,28.897192,-0.2848622164493655,pre
201838,24.43046111099348,24.670696,-0.24023514755144149,pre
201839,29.445727227010376,30.284355,-0.8386279365638423,pre
201840,41.11666629022076,42.118267,-1.0016007691054085,pre
201841,65.3509882091869,65.6613,-0.31031244999279295,pre
201842,61.54935751369686,53.671703,7.877654175073815,pre
201843,43.89795671230331,47.75315,-3.855194227638094,pre
201844,41.0754607748319,41.15923,-0.08376850373254996,pre
201845,33.58604886788039,34.789703,-1.2036545012602318,pre
201846,39.48478425933183,40.422802,-0.938017712103715,pre
201847,55.87901330744912,56.74657,-0.8675572797090823,pre
201848,73.36197128355289,75.80547,-2.4435020440838287,pre
201849,58.9193282893737,59.456066,-0.5367378422180948,pre
201850,89.42632889525949,89.14121,0.28511643188058144,pre
201851,64.42377357847177,64.687935,-0.26416129701651414,pre
201852,68.90569313648038,68.28099,0.6247025358944427,pre
201901,81.52677709149152,81.92765,-0.4008733601686316,pre
201902,62.1463207414548,62.77747,-0.6311488935549647,pre
201903,109.42525580959094,109.21604,0.2092142446495302,pre
201904,90.6263857057457,91.74267,-1.1162824461097642,pre
201905,93.24388472301848,93.479675,-0.23579056995026804,pre
201906,84.66722841114243,84.3959,0.27133149952133806,pre
201907,51.236828083683655,51.68332,-0.4464910081132203,pre
201908,67.91482542921112,70.75773,-2.842903147449036,pre
201909,76.70950751156182,73.90342,2.806088016932918,pre
201910,61.00696165519162,62.989227,-1.982265639730258,pre
201911,46.97741923486972,47.86305,-0.8856293185970756,pre
201912,39.020503663708354,38.711224,0.3092800614134319,pre
201913,37.81686538883454,37.838833,-0.021967466390066193,pre
201914,37.99653150222699,38.28559,-0.28905962326128787,pre
201915,44.05182072674079,42.3036,1.7482204154614962,pre
201916,43.43776335859588,42.898735,0.5390283122091617,pre
201917,34.034517214691355,35.00581,-0.9712925692441914,pre
201918,31.494303876745555,31.284857,0.20944708048090632,pre
201919,33.93836127721978,33.958405,-0.02004326379584853,pre
201920,36.20735478712264,37.395947,-1.1885917155629073,pre
201921,34.754318288672536,34.46204,0.2922783411627705,pre
201922,29.30857587482379,30.17832,-0.869744056206482,pre
201923,25.96676796089577,26.432663,-0.4658950029714184,pre
201924,25.6610546054212,25.615053,0.046001428541316614,pre
201925,23.41033169351224,24.09006,-0.6797275868832671,pre
201926,24.698300156319213,24.387028,0.31127241584069765,pre
201927,22.717029983792987,21.85204,0.8649906466347836,pre
201928,20.62297452030924,19.529675,1.0932999902799416,pre
201929,19.38771197591058,19.156023,0.23168895039788495,pre
201930,19.34705919874565,20.309572,-0.962513021102982,pre
201931,18.090237473403413,18.941555,-0.8513175497899468,pre
201932,18.726046414237096,19.663754,-0.937707095284388,pre
201933,23.190179926425124,25.358515,-2.1683348593414777,pre
201934,25.68704680968379,24.558496,1.1285503344640624,pre
201935,25.148775853228567,23.718344,1.4304321184873565,pre
201936,30.507457777682102,29.45181,1.0556469408901101,pre
201937,36.236432834085214,35.26243,0.9740045503938077,pre
201938,28.949481933965284,30.345366,-1.395883590326708,pre
201939,32.89260142534712,31.42717,1.4654316255424291,pre
201940,33.83922394924433,34.086338,-0.24711409396856254,pre
201941,36.91850797049938,37.86107,-0.9425607550865607,pre
201942,37.36580833565222,37.266647,0.09916099678503087,pre
201943,42.38808626657227,42.25876,0.12932772165039808,pre
201944,47.445236512401365,48.902824,-1.4575878894541034,pre
201945,41.8345867954322,43.30811,-1.473522488015064,pre
201946,41.78029280497109,40.533543,1.2467501719144494,pre
201947,43.67799250270125,41.733795,1.944197336685626,pre
201948,48.91792302433301,50.57505,-1.6571273296708995,pre
201949,60.38935355817218,59.091843,1.2975109068049946,pre
201950,78.35080152835077,79.312645,-0.961843430145322,pre
201951,55.58832705437912,54.942127,0.6461998265959181,pre
201952,53.46442050065042,55.561066,-2.0966451731777056,pre
202001,52.77488198041953,52.367134,0.407747886181248,pre
202002,41.94084189873951,42.463913,-0.5230710651276809,pre
202003,68.09705360416866,67.196465,0.9005890655944455,pre
202004,56.60669792836791,58.76879,-2.1620932703625613,pre
202005,51.33559389822778,50.631214,0.7043797563820746,pre
202006,42.584609675350585,40.6712,1.9134098767666003,pre
202007,32.58807993189156,32.032574,0.5555062319403916,pre
202008,35.104807275597736,37.06048,-1.955670934851483,pre
202009,40.79886416616551,40.654266,0.14459780874363304,pre
202010,39.60061845476322,39.976097,-0.37547865217037213,pre
202011,39.24502210353954,38.67251,0.5725138637934464,pre
202012,36.51014526657588,34.20499,2.305154879612992,pre
202013,30.73844071728213,30.812757,-0.07431677478329846,pre
202014,29.366588686829346,30.32503,-0.9584406863395998,pre
202015,31.595093984890035,30.731134,0.8639595702171832,pre
202016,33.43077580392654,34.965034,-1.5342586809367447,pre
202017,29.45729722516132,30.519808,-1.0625105903904384,pre
202018,29.636444871893065,29.487116,0.14932901190771375,pre
202019,28.669757333434763,29.060246,-0.39048818048125256,pre
202020,27.97766946145589,28.664248,-0.6865780513614936,pre
202021,29.282003645337763,27.183008,2.0989954513680367,pre
202022,25.89299574353014,24.846132,1.0468634650877569,pre
202023,20.92563473818416,21.143642,-0.21800768735294795,pre
202024,19.31163180804396,18.876728,0.43490375018263094,pre
202025,17.838013139378457,18.144123,-0.3061099380141208,pre
202026,19.178051755039466,19.078154,0.09989814480997339,pre
202027,18.622556125697976,17.883299,0.7392572517966087,pre
202028,18.1193422868007,16.909761,1.2095808579676905,pre
202029,16.816066294072993,16.87456,-0.05849310839282751,pre
202030,16.84103467624404,17.593737,-0.7527019723155313,pre
202031,17.158050355886065,17.300129,-0.14207858088151326,pre
202032,16.830879176574715,17.248896,-0.41801646856688635,pre
202033,18.03598047691682,18.93213,-0.8961503366818135,pre
202034,23.527441353116007,22.720263,0.8071788256501868,pre
202035,24.5757310410142,24.9228,-0.3470690230727129,pre
202036,26.48939576863959,28.068155,-1.5787595200566997,pre
