city,treated,pop,pm25,time,year,week
七台河,0,78.0,60.95071485829641,2018-01-07,2018,1
七台河,0,78.0,58.25492934624546,2018-01-14,2018,2
七台河,0,78.0,64.55497472438358,2018-01-21,2018,3
七台河,0,78.0,60.22275326039417,2018-01-28,2018,4
七台河,0,78.0,66.24760532437398,2018-02-04,2018,5
七台河,0,78.0,66.64290470208927,2018-02-11,2018,6
七台河,0,78.0,76.33834993605699,2018-02-18,2018,7
七台河,0,78.0,51.77125546573826,2018-02-25,2018,8
七台河,0,78.0,63.66157695703621,2018-03-04,2018,9
七台河,0,78.0,44.31899822918719,2018-03-11,2018,10
七台河,0,78.0,44.29319933638757,2018-03-18,2018,11
七台河,0,78.0,44.824589988113736,2018-03-25,2018,12
七台河,0,78.0,56.07207335394585,2018-04-01,2018,13
七台河,0,78.0,69.09185319549098,2018-04-08,2018,14
七台河,0,78.0,42.30314753764151,2018-04-15,2018,15
七台河,0,78.0,52.82519499603463,2018-04-22,2018,16
七台河,0,78.0,48.56160542184496,2018-04-29,2018,17
七台河,0,78.0,28.776150834341788,2018-05-06,2018,18
七台河,0,78.0,26.97016757237469,2018-05-13,2018,19
七台河,0,78.0,26.284119596346056,2018-05-20,2018,20
七台河,0,78.0,21.9432392130252,2018-05-27,2018,21
七台河,0,78.0,29.306819998287377,2018-06-03,2018,22
七台河,0,78.0,20.92205968369029,2018-06-10,2018,23
七台河,0,78.0,18.73781641144616,2018-06-17,2018,24
七台河,0,78.0,16.447665245842256,2018-06-24,2018,25
七台河,0,78.0,17.080483041021132,2018-07-01,2018,26
七台河,0,78.0,17.340927828893776,2018-07-08,2018,27
七台河,0,78.0,17.142474430971202,2018-07-15,2018,28
七台河,0,78.0,17.33112702503033,2018-07-22,2018,29
七台河,0,78.0,17.193107272899272,2018-07-29,2018,30
七台河,0,78.0,15.929367513352991,2018-08-05,2018,31
七台河,0,78.0,15.213982786238192,2018-08-12,2018,32
七台河,0,78.0,14.78684273542464,2018-08-19,2018,33
七台河,0,78.0,14.205736355826192,2018-08-26,2018,34
七台河,0,78.0,13.014588764283022,2018-09-02,2018,35
七台河,0,78.0,12.434125137390508,2018-09-09,2018,36
七台河,0,78.0,12.791170731479625,2018-09-16,2018,37
七台河,0,78.0,13.779200657175355,2018-09-23,2018,38
七台河,0,78.0,16.72309501762249,2018-09-30,2018,39
七台河,0,78.0,16.963484743647044,2018-10-07,2018,40
七台河,0,78.0,16.709207753797912,2018-10-14,2018,41
七台河,0,78.0,19.235918603710783,2018-10-21,2018,42
七台河,0,78.0,22.19715151404709,2018-10-28,2018,43
七台河,0,78.0,26.29579395131819,2018-11-04,2018,44
七台河,0,78.0,24.579360353604297,2018-11-11,2018,45
七台河,0,78.0,27.23668146723861,2018-11-18,2018,46
七台河,0,78.0,27.03361644354543,2018-11-25,2018,47
七台河,0,78.0,29.18547707401349,2018-12-02,2018,48
七台河,0,78.0,34.18892583987857,2018-12-09,2018,49
七台河,0,78.0,52.10944182361256,2018-12-16,2018,50
七台河,0,78.0,35.956097511131574,2018-12-23,2018,51
七台河,0,78.0,63.21252245122509,2018-12-30,2018,52
七台河,0,77.0,49.32648697581436,2019-01-06,2019,1
七台河,0,77.0,47.07569043844189,2019-01-13,2019,2
