time,pm25_obs,pm25_cf,att,period,year,week,year_week
2018-01-07,52.41573578057149,53.918163,-1.5024275189890588,pre,2018,1,201801
2018-01-14,54.00911569789239,55.58834,-1.5792250613849532,pre,2018,2,201802
2018-01-21,59.77516574761489,62.540173,-2.7650068292894048,pre,2018,3,201803
2018-01-28,55.05694058784066,56.311558,-1.2546171819347336,pre,2018,4,201804
2018-02-04,61.54842552226416,63.576733,-2.028307113233886,pre,2018,5,201805
2018-02-11,65.39257489505776,67.43319,-2.040614497032081,pre,2018,6,201806
2018-02-18,61.95280061073865,63.867405,-1.9146043270054918,pre,2018,7,201807
2018-02-25,43.0134099096915,43.492207,-0.47879666379483155,pre,2018,8,201808
2018-03-04,38.98420586440243,39.67062,-0.686414100197176,pre,2018,9,201809
2018-03-11,37.78073964075364,38.13603,-0.35528864904128454,pre,2018,10,201810
2018-03-18,40.6674460041892,40.97848,-0.3110352885354075,pre,2018,11,201811
2018-03-25,37.61867702231695,38.201435,-0.5827580667943764,pre,2018,12,201812
2018-04-01,35.92753409820898,35.825016,0.10251807648046452,pre,2018,13,201813
2018-04-08,36.93954065625362,36.91431,0.025230200931353863,pre,2018,14,201814
2018-04-15,35.53232060716152,35.720303,-0.1879819746255862,pre,2018,15,201815
2018-04-22,32.634430521273714,32.12106,0.5133711035491046,pre,2018,16,201816
2018-04-29,33.362212507629664,33.344982,0.017230360412867185,pre,2018,17,201817
2018-05-06,31.648214313437865,31.232649,0.4155654639505606,pre,2018,18,201818
2018-05-13,30.49987232643268,30.398813,0.10105907875201581,pre,2018,19,201819
2018-05-20,29.4206548920494,29.35892,0.06173574837264084,pre,2018,20,201820
2018-05-27,30.30363914900421,30.15743,0.14620850020049758,pre,2018,21,201821
2018-06-03,28.84151624028012,28.531439,0.31007741276547307,pre,2018,22,201822
2018-06-10,25.217169832465064,24.415665,0.8015051596135017,pre,2018,23,201823
2018-06-17,24.36135822015612,25.038046,-0.6766876630225909,pre,2018,24,201824
2018-06-24,22.62734246289652,23.70497,-1.077626943231408,pre,2018,25,201825
2018-07-01,22.49583675356014,22.526577,-0.030740242289468256,pre,2018,26,201826
2018-07-08,22.77050462253469,22.442606,0.32789865024465215,pre,2018,27,201827
2018-07-15,23.22785767833143,23.318062,-0.09020415028185269,pre,2018,28,201828
2018-07-22,24.46613496706018,22.710787,1.7553481476021737,pre,2018,29,201829
2018-07-29,24.82814313653465,25.303698,-0.4755544495249211,pre,2018,30,201830
2018-08-05,23.389237490284398,23.752756,-0.3635186284900165,pre,2018,31,201831
2018-08-12,22.834133820131907,22.770258,0.06387587030280528,pre,2018,32,201832
2018-08-19,23.24463733914413,23.195896,0.048741190462489925,pre,2018,33,201833
2018-08-26,24.33155891119404,24.925655,-0.5940964537961939,pre,2018,34,201834
2018-09-02,24.42569318043204,22.869722,1.5559708140990338,pre,2018,35,201835
2018-09-09,24.13751782054768,24.95306,-0.8155423295988058,pre,2018,36,201836
2018-09-16,23.40220185374961,24.376804,-0.9746024980570311,pre,2018,37,201837
2018-09-23,22.070597498820803,22.593008,-0.5224105425610333,pre,2018,38,201838
2018-09-30,24.441222789425503,24.06742,0.3738037373014791,pre,2018,39,201839
2018-10-07,27.319546227377,26.332159,0.9873871850186013,pre,2018,40,201840
2018-10-14,31.028199848679726,30.651093,0.37710731938285136,pre,2018,41,201841
2018-10-21,31.288645333497428,31.713676,-0.42503111913929104,pre,2018,42,201842
2018-10-28,30.62169143137214,30.824636,-0.2029450279784477,pre,2018,43,201843
2018-11-04,33.65326712050884,33.86106,-0.20779397568256286,pre,2018,44,201844
2018-11-11,32.89345617848687,32.849155,0.04430075246148135,pre,2018,45,201845
2018-11-18,34.35838832117409,34.864677,-0.506289108025129,pre,2018,46,201846
2018-11-25,35.59488614304559,36.98337,-1.3884855915735486,pre,2018,47,201847
2018-12-02,47.46037580096761,48.56399,-1.103615745663248,pre,2018,48,201848
2018-12-09,44.14714552656962,43.171146,0.9759991337473579,pre,2018,49,201849
2018-12-16,50.62852244353598,52.253483,-1.6249603750675377,pre,2018,50,201850
2018-12-23,51.00545463413176,51.699654,-0.6941989913565223,pre,2018,51,201851
2018-12-30,52.47952838599065,53.567875,-1.088346522456618,pre,2018,52,201852
2019-01-06,59.8390074597872,61.41361,-1.5746010912381934,pre,2019,1,201901
2019-01-13,62.070228532609214,62.9405,-0.8702698194415674,pre,2019,2,201902
2019-01-20,60.32795292325339,61.76135,-1.4333958011118426,pre,2019,3,201903
2019-01-27,66.08879349194515,67.36764,-1.27884414233219,pre,2019,4,201904
2019-02-03,57.79567545556765,58.85304,-1.05736333227415,pre,2019,5,201905
2019-02-10,53.58663260444077,54.19208,-0.6054488469752428,pre,2019,6,201906
2019-02-17,43.03491414881108,43.927048,-0.8921335806811044,pre,2019,7,201907
2019-02-24,46.67862381565647,47.782566,-1.1039422549001685,pre,2019,8,201908
2019-03-03,43.18124176064919,43.681324,-0.5000822444777597,pre,2019,9,201909
2019-03-10,39.75773251177325,39.94971,-0.1919783341740171,pre,2019,10,201910
2019-03-17,37.87583808407615,38.275402,-0.3995639850156465,pre,2019,11,201911
2019-03-24,33.709954527825005,33.921444,-0.2114894113839796,pre,2019,12,201912
2019-03-31,33.01628061306805,32.664585,0.35169549954265733,pre,2019,13,201913
2019-04-07,32.700349755722705,33.381134,-0.68078427748042,pre,2019,14,201914
2019-04-14,31.47367963184581,30.625498,0.8481818138526442,pre,2019,15,201915
2019-04-21,30.66131514390144,30.761957,-0.10064202467766137,pre,2019,16,201916
2019-04-28,30.600812363599275,30.18087,0.41994230744693084,pre,2019,17,201917
2019-05-05,30.893238071716457,30.242264,0.6509742777711445,pre,2019,18,201918
2019-05-12,31.90599359803625,32.13912,-0.23312459654382778,pre,2019,19,201919
2019-05-19,34.30559596411771,34.325825,-0.020228773431121283,pre,2019,20,201920
2019-05-26,29.02055346833916,28.263466,0.7570875869915028,pre,2019,21,201921
2019-06-02,24.061053265507653,24.550867,-0.489813815180824,pre,2019,22,201922
2019-06-09,21.73706181140373,21.484076,0.2529862651390822,pre,2019,23,201923
2019-06-16,20.67383334445128,19.947012,0.7268213968194424,pre,2019,24,201924
2019-06-23,19.884896904220188,19.251202,0.6336952745815161,pre,2019,25,201925
2019-06-30,19.88846589072905,20.309904,-0.4214382077816907,pre,2019,26,201926
