time,pm25_obs,pm25_cf,att,period,year,week,year_week
2018-01-07,52.41573578057149,52.41577,-3.5703803511921706e-05,pre,2018,1,201801
2018-01-14,54.00911569789239,54.986145,-0.9770293216388595,pre,2018,2,201802
2018-01-21,59.77516574761489,60.51215,-0.7369840631761235,pre,2018,3,201803
2018-01-28,55.05694058784066,55.118526,-0.061585870899577344,pre,2018,4,201804
2018-02-04,61.54842552226416,61.805523,-0.2570973964370111,pre,2018,5,201805
2018-02-11,65.39257489505776,66.144516,-0.7519410961531747,pre,2018,6,201806
2018-02-18,61.95280061073865,62.677376,-0.7245751827183824,pre,2018,7,201807
2018-02-25,43.0134099096915,43.126595,-0.11318463376553467,pre,2018,8,201808
2018-03-04,38.98420586440243,39.486736,-0.5025304332049885,pre,2018,9,201809
2018-03-11,37.78073964075364,38.15512,-0.37438120885573767,pre,2018,10,201810
2018-03-18,40.6674460041892,40.64866,0.018787251747795608,pre,2018,11,201811
2018-03-25,37.61867702231695,38.208347,-0.5896702982396889,pre,2018,12,201812
2018-04-01,35.92753409820898,36.270893,-0.343358998714848,pre,2018,13,201813
2018-04-08,36.93954065625362,37.107773,-0.168232170894818,pre,2018,14,201814
2018-04-15,35.53232060716152,35.94796,-0.41563929274082057,pre,2018,15,201815
2018-04-22,32.634430521273714,31.987528,0.646902673983675,pre,2018,16,201816
2018-04-29,33.362212507629664,33.869736,-0.5075232101437734,pre,2018,17,201817
2018-05-06,31.648214313437865,31.143816,0.50439831917517,pre,2018,18,201818
2018-05-13,30.49987232643268,30.449924,0.049947857438539245,pre,2018,19,201819
2018-05-20,29.4206548920494,29.28701,0.1336446991783049,pre,2018,20,201820
2018-05-27,30.30363914900421,30.372381,-0.06874206132293992,pre,2018,21,201821
2018-06-03,28.84151624028012,28.594006,0.24751065556332463,pre,2018,22,201822
2018-06-10,25.217169832465064,24.356623,0.8605471365422126,pre,2018,23,201823
2018-06-17,24.36135822015612,24.465965,-0.10460705083997368,pre,2018,24,201824
2018-06-24,22.62734246289652,23.775246,-1.1479032036073846,pre,2018,25,201825
2018-07-01,22.49583675356014,22.807306,-0.31146953611271044,pre,2018,26,201826
2018-07-08,22.77050462253469,21.785244,0.9852606344975818,pre,2018,27,201827
2018-07-15,23.22785767833143,23.173925,0.05393227855115512,pre,2018,28,201828
2018-07-22,24.46613496706018,22.81166,1.654474200458619,pre,2018,29,201829
2018-07-29,24.82814313653465,24.622347,0.2057962584828914,pre,2018,30,201830
2018-08-05,23.389237490284398,23.560495,-0.17125788630251648,pre,2018,31,201831
2018-08-12,22.834133820131907,22.773722,0.06041212518561778,pre,2018,32,201832
2018-08-19,23.24463733914413,23.056223,0.1884144234947165,pre,2018,33,201833
2018-08-26,24.33155891119404,24.63832,-0.30676201165752204,pre,2018,34,201834
2018-09-02,24.42569318043204,22.555647,1.870046284069737,pre,2018,35,201835
2018-09-09,24.13751782054768,24.061342,0.07617558116779577,pre,2018,36,201836
2018-09-16,23.40220185374961,24.734041,-1.3318393602396483,pre,2018,37,201837
2018-09-23,22.070597498820803,22.172144,-0.10154643733642388,pre,2018,38,201838
2018-09-30,24.441222789425503,23.38426,1.0569626118131978,pre,2018,39,201839
2018-10-07,27.319546227377,26.387442,0.9321045922451638,pre,2018,40,201840
2018-10-14,31.028199848679726,30.83623,0.19197052433890605,pre,2018,41,201841
2018-10-21,31.288645333497428,31.523613,-0.23496764257679104,pre,2018,42,201842
2018-10-28,30.62169143137214,30.481876,0.1398150580811226,pre,2018,43,201843
2018-11-04,33.65326712050884,34.179405,-0.5261380918935004,pre,2018,44,201844
2018-11-11,32.89345617848687,32.982323,-0.08886651438422177,pre,2018,45,201845
2018-11-18,34.35838832117409,35.100414,-0.7420259549489572,pre,2018,46,201846
2018-11-25,35.59488614304559,36.43776,-0.8428732563684704,pre,2018,47,201847
2018-12-02,47.46037580096761,48.36019,-0.8998155442472324,pre,2018,48,201848
