time,pm25_obs,pm25_cf,att,period,year,week,year_week
2018-01-07,80.55908559910883,79.632355,0.9267308627807012,pre,2018,1,201801
2018-01-14,81.73532609963802,82.150215,-0.4148890492877655,pre,2018,2,201802
2018-01-21,102.2823054225446,103.490555,-1.2082493870257167,pre,2018,3,201803
2018-01-28,81.71909631956902,81.74648,-0.02738652955207499,pre,2018,4,201804
2018-02-04,84.30053302935684,85.84299,-1.542454031190033,pre,2018,5,201805
2018-02-11,78.85239480297453,77.979805,0.8725898102987486,pre,2018,6,201806
2018-02-18,73.59326584502976,74.56907,-0.9758030636616439,pre,2018,7,201807
2018-02-25,59.519339032738834,59.68302,-0.16368251267132194,pre,2018,8,201808
2018-03-04,57.61603430594984,57.335808,0.28022650565687,pre,2018,9,201809
2018-03-11,57.74007929210045,56.88125,0.8588308179793529,pre,2018,10,201810
2018-03-18,54.58076603726986,54.4852,0.09556706266048565,pre,2018,11,201811
2018-03-25,56.60414265790805,56.028572,0.5755705753885181,pre,2018,12,201812
2018-04-01,52.74527012348742,52.688377,0.05689274311632886,pre,2018,13,201813
2018-04-08,48.530889703564256,48.247654,0.2832357423826153,pre,2018,14,201814
2018-04-15,45.51870478208776,45.83486,-0.31615697328333425,pre,2018,15,201815
2018-04-22,44.85861108452973,44.41436,0.44425103814300826,pre,2018,16,201816
2018-04-29,44.21490186982345,44.79132,-0.5764189309578001,pre,2018,17,201817
2018-05-06,39.89241454420708,38.912262,0.9801525813164531,pre,2018,18,201818
2018-05-13,39.10863055066547,39.01178,0.09685076550921679,pre,2018,19,201819
2018-05-20,35.93567876348117,36.417267,-0.48158808222195404,pre,2018,20,201820
2018-05-27,39.28838186331641,39.569977,-0.2815949433242153,pre,2018,21,201821
2018-06-03,38.90101202059935,39.076103,-0.1750911898498657,pre,2018,22,201822
2018-06-10,34.41501152450109,33.779835,0.6351767771866363,pre,2018,23,201823
2018-06-17,31.83485535212385,31.901339,-0.0664832251466585,pre,2018,24,201824
2018-06-24,29.84687130503082,32.680347,-2.833476137596133,pre,2018,25,201825
2018-07-01,27.77193611304916,28.063028,-0.29109222252212774,pre,2018,26,201826
2018-07-08,27.615311307949327,24.056412,3.558899564785264,pre,2018,27,201827
2018-07-15,26.623391547702845,28.20719,-1.5837980122336788,pre,2018,28,201828
2018-07-22,27.230883160690183,26.278612,0.952271023849363,pre,2018,29,201829
2018-07-29,27.26747384162028,28.914772,-1.6472981920711263,pre,2018,30,201830
2018-08-05,26.67576750019236,26.864502,-0.18873445293263913,pre,2018,31,201831
2018-08-12,26.76404064628588,25.614672,1.149368939132561,pre,2018,32,201832
2018-08-19,26.04026436433771,25.864822,0.17544197664239647,pre,2018,33,201833
2018-08-26,26.634708408251804,27.51976,-0.8850517235841338,pre,2018,34,201834
2018-09-02,26.166748760324985,24.537235,1.6295135003152197,pre,2018,35,201835
2018-09-09,27.10604513310782,28.631454,-1.5254093346656177,pre,2018,36,201836
2018-09-16,28.007356627785587,27.444216,0.563140853249454,pre,2018,37,201837
2018-09-23,28.370069656162187,28.060268,0.3098012540625774,pre,2018,38,201838
2018-09-30,29.895434236362437,30.32842,-0.4329864026756489,pre,2018,39,201839
2018-10-07,34.52570955867314,32.56745,1.9582580816223611,pre,2018,40,201840
2018-10-14,40.42826563463856,39.644775,0.7834902440135565,pre,2018,41,201841
2018-10-21,43.12821500442725,42.957756,0.17045896194677823,pre,2018,42,201842
2018-10-28,44.6585112982684,46.90796,-2.249447686106599,pre,2018,43,201843
2018-11-04,47.45103069169559,46.612602,0.8384284578088739,pre,2018,44,201844
2018-11-11,45.96447818236792,45.66527,0.2992064233347165,pre,2018,45,201845
2018-11-18,52.05849792723732,51.175064,0.8834338403232564,pre,2018,46,201846
2018-11-25,62.5402160021708,62.20463,0.33558419675087947,pre,2018,47,201847
2018-12-02,81.26874835822026,83.1963,-1.9275483336742667,pre,2018,48,201848
2018-12-09,65.14174875779845,64.09245,1.0492957548687656,pre,2018,49,201849
2018-12-16,79.13334356004877,77.19589,1.9374512260643968,pre,2018,50,201850
2018-12-23,71.23325172102334,70.604645,0.6286069456327112,pre,2018,51,201851
2018-12-30,72.52845594230168,72.54477,-0.01631334480769908,pre,2018,52,201852
2019-01-06,90.37888817791274,92.07221,-1.693324041325539,pre,2019,1,201901
2019-01-13,82.15114529302531,82.510315,-0.35916964838094145,pre,2019,2,201902
2019-01-20,84.12212545328764,85.354195,-1.232069187825644,pre,2019,3,201903
2019-01-27,75.62884818460162,76.66998,-1.0411347255546275,pre,2019,4,201904
2019-02-03,70.25112266440098,69.32945,0.9216701497525435,pre,2019,5,201905
2019-02-10,70.10666850502933,70.62489,-0.5182246834472295,pre,2019,6,201906
2019-02-17,65.29675357971486,64.125114,1.1716391387968912,pre,2019,7,201907
2019-02-24,73.89519914199244,74.40032,-0.5051228184567833,pre,2019,8,201908
2019-03-03,66.55157155649658,66.1355,0.41607350962158307,pre,2019,9,201909
2019-03-10,55.23422567452481,55.027206,0.20701925362637041,pre,2019,10,201910
2019-03-17,47.44447504277641,47.2239,0.22057520146781684,pre,2019,11,201911
2019-03-24,43.901037551991045,45.25054,-1.3495041350206733,pre,2019,12,201912
2019-03-31,44.36179926997832,43.73598,0.625818282429492,pre,2019,13,201913
2019-04-07,44.63448763051335,44.37346,0.2610287682086607,pre,2019,14,201914
2019-04-14,41.55835589974712,42.238518,-0.6801618614833487,pre,2019,15,201915
