year_week,pm25_obs,pm25_cf,att,period
201801,46.57298345829028,48.20397,-1.6309884045026877,pre
201802,64.02216761351731,65.91717,-1.8950000500569075,pre
201803,63.26222741803562,64.40941,-1.147181151300316,pre
201804,54.283902891699846,56.58967,-2.3057653822259354,pre
201805,55.27887671359948,56.43351,-1.154633113060676,pre
201806,44.33392556588813,46.708393,-2.374467531035698,pre
201807,42.55951370840872,43.890884,-1.3313706910053398,pre
201808,37.16059362256186,38.690178,-1.5295842949186067,pre
201809,52.01923490395468,53.596786,-1.5775515950687549,pre
201810,44.70003154140711,45.150875,-0.4508435501456276,pre
201811,33.398247855218834,34.588253,-1.1900051660214004,pre
201812,38.43004038913807,39.73349,-1.303449601096304,pre
201813,48.55508597732158,49.525253,-0.9701673185768556,pre
201814,37.59573452298471,38.293686,-0.697951390101224,pre
201815,36.3523559503676,37.43141,-1.07905579279646,pre
201816,42.50084248968533,41.941498,0.5593446869509577,pre
201817,25.33745763631165,25.44275,-0.10529329447448177,pre
201818,26.672515325889528,26.329947,0.3425688079451916,pre
201819,25.379614461906343,24.87932,0.5002943172530223,pre
201820,23.973236672534217,23.287752,0.6854845210449589,pre
201821,20.796485639384816,20.77426,0.02222607212407368,pre
201822,19.23612387388093,18.741314,0.4948099395547594,pre
201823,19.4328686917254,18.338896,1.0939728939959075,pre
201824,19.60134564309177,19.668444,-0.06709803671780179,pre
201825,18.480735561071043,19.53051,-1.0497743876594257,pre
201826,19.22801056124216,18.43452,0.7934898398066146,pre
201827,19.53157572559516,17.586346,1.945230052987739,pre
201828,20.46613648456051,20.503624,-0.03748747784183237,pre
201829,24.24473751492728,23.13089,1.1138476223491551,pre
201830,17.239216447652495,17.40441,-0.16519296091684055,pre
201831,15.250952034740903,15.911998,-0.6610457603640771,pre
201832,15.43754309454478,13.946714,1.4908286932996635,pre
201833,13.684715214065433,13.409193,0.275522175125003,pre
201834,13.194252953566345,12.93759,0.25666330818060246,pre
201835,12.811857748218577,12.950161,-0.13830323200603267,pre
201836,12.658282427487594,12.572744,0.08553805798075764,pre
201837,12.337433032734443,12.92647,-0.5890367701220018,pre
201838,11.9807174200068,11.868851,0.1118667119989869,pre
201839,14.783977097839244,14.416681,0.36729580816639285,pre
201840,14.70023005633411,13.612136,1.088094169188114,pre
