year_week,pm25_obs,pm25_cf,att,period
201801,91.59251856472144,89.87802,1.7144973244870698,pre
201802,85.35744793309284,84.9388,0.4186509360225301,pre
201803,108.54143133702732,108.89154,-0.35010919031643084,pre
201804,84.1564755296622,84.524506,-0.36803008557217254,pre
201805,80.97583120839937,78.3747,2.601128754786089,pre
201806,65.58350734343132,65.760475,-0.17696781526008465,pre
201807,53.71545254277291,52.71209,1.0033630041986896,pre
201808,57.19845306039672,56.967278,0.2311755335412542,pre
201809,54.00016925300675,53.602722,0.39744708503800297,pre
201810,63.0182695407612,62.626778,0.39149189183542177,pre
201811,51.77923794669143,51.05902,0.7202169505976812,pre
201812,60.72185185252302,59.571594,1.1502576142417666,pre
201813,47.62538343092074,46.90837,0.7170124592410545,pre
201814,48.6088594652136,48.224228,0.38463155994016063,pre
201815,42.53499307301771,42.285427,0.2495659795118499,pre
201816,40.29836220910866,39.97046,0.3279032247336602,pre
201817,47.30637366970247,46.58492,0.7214546938723885,pre
201818,37.99859029912171,37.92328,0.07531149052795882,pre
201819,38.62786876806244,37.85815,0.7697182858847071,pre
201820,35.63280394114686,34.999348,0.6334562543792828,pre
201821,36.66159835718555,36.398735,0.26286331079882785,pre
201822,37.4876672183559,37.547543,-0.059875353665582054,pre
201823,36.67570769548984,35.082493,1.5932148671207003,pre
201824,32.3123814969893,30.611515,1.7008664518232877,pre
201825,29.339927834498667,29.197798,0.14213005923011224,pre
201826,23.59234360683236,24.262306,-0.6699626065465445,pre
201827,19.46576212251832,19.183306,0.2824563821618753,pre
201828,23.83947596883281,24.417204,-0.5777279343654307,pre
201829,22.5282392428006,22.306265,0.22197436548126248,pre
201830,21.848139861349733,22.046494,-0.19835366892370487,pre
201831,18.08750171937421,18.531965,-0.4444635363630951,pre
201832,18.782252213859387,18.901144,-0.11889181385057412,pre
201833,18.90695985975536,18.39506,0.5119002741840717,pre
201834,19.44016608573097,18.96942,0.4707466063608514,pre
201835,18.805494856479,17.997381,0.8081136461518525,pre
201836,20.466725952223367,20.270685,0.19604075630051554,pre
201837,20.04697882136841,20.656633,-0.6096545557067863,pre
201838,21.307711099107507,22.15912,-0.8514094605848754,pre
201839,22.267334185951853,24.111147,-1.8438127409280298,pre
201840,27.25056275463366,24.505224,2.7453385267283856,pre
201841,28.68870639104473,28.267828,0.4208784033738304,pre
201842,37.7527645051579,37.501007,0.2517574250797736,pre
201843,34.40007283836196,35.25962,-0.8595478281419489,pre
201844,33.45165557457121,33.206833,0.24482268882902503,pre
201845,36.04467115336747,35.575108,0.4695635789045767,pre
201846,47.232035139709325,47.085667,0.14636848321518414,pre
201847,66.8612823774842,66.31098,0.5503006269959201,pre
201848,74.91192966150386,75.37962,-0.4676937515820754,pre
201849,61.05833947347015,60.731712,0.3266271321615548,pre
201850,70.37749089250853,69.47726,0.900234117606189,pre
201851,66.70329270627866,66.12166,0.5816343810833473,pre
201852,61.0632591385444,61.211212,-0.14795301965872198,pre
201901,92.49360572363844,92.36806,0.12554847266187608,pre
201902,88.17262541837266,87.368164,0.804461355872661,pre
201903,99.12761511539485,98.98569,0.14192785953547116,pre
201904,65.3434616125272,62.902355,2.441106418435396,pre
201905,63.73223112889813,63.781662,-0.04943085840655925,pre
201906,73.40694593279947,73.7656,-0.3586561790169327,pre
201907,70.44835110641661,70.94919,-0.5008371260052655,pre
201908,96.99499874379532,96.357994,0.6370046642054774,pre
201909,67.73206415812888,67.56385,0.168213755296847,pre
201910,58.39172735787738,58.57062,-0.17889413260113685,pre
201911,40.63069031153891,40.35717,0.27352020655844456,pre
201912,39.81152400295096,39.72992,0.08160456935721072,pre
201913,39.65953752598297,38.034855,1.6246826370669538,pre
201914,45.13085340539854,45.678696,-0.5478422733123978,pre
201915,48.29351620139833,46.626854,1.6666622585272393,pre
201916,45.43711984823464,45.08397,0.35315073202369973,pre
201917,36.17594842466747,36.57804,-0.40209265199268884,pre
201918,36.72468683695047,35.6146,1.110085701696562,pre
201919,37.62104069955999,37.34846,0.2725795484369442,pre
201920,38.75810145519322,38.124596,0.6335058131033762,pre
201921,34.069535253537595,34.257656,-0.18812084387451478,pre
201922,33.14708035435279,31.046225,2.100855760236577,pre
201923,30.93979761290672,33.086178,-2.146380213021015,pre
201924,27.04771946707118,26.967989,0.0797304991756711,pre
201925,28.271852387289663,32.974945,-4.7030926810697125,pre
201926,31.49703507842418,30.006598,1.490437559503281,pre
201927,36.59060291439011,33.084522,3.5060806670756577,pre
201928,37.58773162095989,34.222828,3.36490370958294,pre
201929,32.48920726903214,32.194397,0.29481029637589273,pre
201930,25.37266388268573,25.42587,-0.053207012700013934,pre
201931,20.95030019843632,21.07357,-0.12327005302852356,pre
201932,21.804266942090308,22.16292,-0.3586530560786372,pre
201933,22.43396541101543,22.560392,-0.12642696874531367,pre
201934,23.32661559576521,22.802137,0.524478220887282,pre
201935,23.982414631735,23.431543,0.5508712815152741,pre
201936,27.62511677657921,26.11484,1.5102772227462005,pre
201937,26.47728696400432,23.616718,2.860568671767993,pre
201938,23.24586286861212,24.15368,-0.90781793277948,pre
201939,26.17985699829125,27.583624,-1.4037668878171488,pre
201940,32.23338632742374,31.010239,1.2231476799627998,pre
201941,34.60527166019385,34.8262,-0.22092691768700945,pre
201942,46.86885203382125,47.340942,-0.4720903489912516,pre
201943,46.3214937701126,46.936836,-0.615342472563178,pre
201944,42.69618530804583,42.232353,0.46383209759660815,pre
201945,44.93288437906469,45.45398,-0.5210951131228114,pre
201946,39.41168368043986,38.888344,0.5233398694047011,pre
201947,39.37676304509642,40.497856,-1.121093095040301,pre
201948,50.47330582669823,50.623142,-0.1498364157334109,pre
201949,62.63179795221511,61.62381,1.0079881377619841,pre
201950,61.21634034541755,60.909996,0.3063443127027057,pre
201951,58.40796671479072,58.601074,-0.19310750395928267,pre
201952,61.81692247009561,61.502243,0.31467942810342464,pre
202001,72.50516657849526,71.46034,1.0448241712687008,pre
202002,63.54850829833556,63.578236,-0.029727327885140653,pre
202003,85.88965246125346,84.018166,1.8714868728745557,pre
202004,66.97270471920022,65.9352,1.0375011669541294,pre
202005,51.44678624345052,51.1985,0.24828465653645537,pre
202006,49.42529248890072,48.60624,0.819053170053067,pre
202007,38.27777669046807,37.834858,0.44291874979424506,pre
202008,35.03197902356004,35.164642,-0.1326633104243342,pre
202009,34.17779789325696,33.33271,0.8450876271436769,pre
202010,34.73886038348379,35.499725,-0.7608649583130855,pre
202011,35.26695248947328,34.393227,0.8737258659381268,pre
202012,31.89460643136649,32.447685,-0.5530788103327282,pre
202013,31.550679634461464,31.521753,0.028926323304236945,pre
202014,37.77468973773722,38.12726,-0.3525685630440307,pre
202015,42.98586804681276,43.306564,-0.32069628424192587,pre
202016,43.20057391061101,43.563232,-0.3626585112639873,pre
202017,30.32137162533736,30.734848,-0.41347639712357775,pre
202018,31.942970647896065,32.36582,-0.4228511904828416,pre
202019,32.27457822032821,32.371613,-0.097034328499916,pre
202020,31.31943616549873,30.948683,0.3707533804645493,pre
202021,30.782105842412403,30.339582,0.44252339917509786,pre
202022,30.758479056567133,28.842478,1.9160012581052186,pre
202023,30.290667941272257,29.901571,0.38909666746854654,pre
202024,27.219387392537023,26.55737,0.6620181603592883,pre
202025,29.98433563667589,27.286968,2.6973674054747185,pre
202026,26.704477937289205,24.828033,1.8764444900235802,pre
202027,21.75040255770975,21.682484,0.06791888461404838,pre
202028,23.445879868461084,24.146975,-0.7010946951375487,pre
202029,24.11219802038968,24.401217,-0.2890184865683274,pre
202030,20.20380177538463,20.645597,-0.44179568250111245,pre
202031,17.011057223530287,18.809647,-1.7985893829150257,pre
202032,17.250718593829355,18.868193,-1.6174740789001376,pre
202033,18.783921302652608,19.499296,-0.715374885701884,pre
202034,19.891784757554465,19.467978,0.4238072337507539,pre
202035,20.361966600711213,19.053064,1.3089022543977364,pre
202036,20.587004850355243,19.895872,0.6911327342663753,pre
202037,20.98810029224705,21.231298,-0.24319815440822268,pre
202038,19.651003687375816,21.27931,-1.6283065390646136,pre
202039,21.26254098324447,21.07778,0.18476121334700935,pre
202040,25.103527771324,25.234167,-0.1306393276750235,pre
202041,25.59001482441681,26.405283,-0.8152681498263554,pre
202042,35.93410674982186,34.74498,1.1891268914234203,pre
202043,39.349041083554056,38.87412,0.4749222786224152,pre
202044,37.44296685080768,32.831684,4.611282738258851,post
202045,35.606620594849815,38.562065,-2.9554445296619036,post
202046,34.81517269157096,44.160553,-9.345380286944668,post
202047,38.8407634199536,52.238808,-13.398044258269053,post
202048,61.50822563797347,49.11988,12.388344961703936,post
202049,68.53564073366177,54.17884,14.356800096454734,post
202050,81.49445547408259,54.951298,26.54315771407282,post
202051,73.34848072830938,51.463215,21.885265854041805,post
202052,62.98965680077798,50.844593,12.145063752682276,post
202101,61.45592977555166,43.418575,18.037354488686425,post
202102,65.53757014907701,39.931244,25.606326252592638,post
202103,63.42918261900828,41.312668,22.116514772328593,post
202104,59.38558336155222,42.716526,16.66905733005808,post
202105,55.494583618975824,40.442886,15.051697266436761,post
202106,48.24914438648852,35.938866,12.310278724867423,post
202107,43.74710689458109,31.193636,12.55347095402933,post
202108,38.52273695974181,27.777298,10.745438986109,post
202109,40.43995323700848,33.758034,6.681919484567075,post
202110,39.92905135046908,36.26495,3.6641015518850963,post
202111,45.48256793609297,77.33725,-31.854681819766405,post
202112,41.190717245781,164.80078,-123.610064004219,post
202113,46.41963483986702,58.935577,-12.515942552711103,post
202114,38.9811221216002,42.197296,-3.216174020977924,post
202115,33.990977728841884,34.29043,-0.29945043277921,post
202116,34.41067080692627,34.503654,-0.0929836730541993,post
202117,34.0438132467801,35.951237,-1.9074234780734187,post
202118,37.11224686896169,35.067265,2.0449823120769253,post
202119,37.93974905850315,35.10653,2.8332198226633096,post
202120,29.25912432878086,25.94281,3.3163142701871102,post
202121,25.16707641268889,27.925674,-2.7585980257876734,post
202122,24.831164349932312,25.187326,-0.35616208134210225,post
202123,24.86273632256598,22.916872,1.9458642980298464,post
202124,21.81119122440543,23.143179,-1.3319877154139057,post
202125,22.05048586184997,21.351255,0.6992304449798539,post
202126,21.4717727358278,18.538969,2.932803695910806,post
202127,18.598524128167817,17.907198,0.6913261758973093,post
202128,18.070083081214268,17.928925,0.14115852066739265,post
202129,21.03067534186825,17.58758,3.443095614695398,post
202130,17.810792182442317,15.48965,2.3211424097982736,post
202131,15.53629536914107,14.762916,0.7733797578739807,post
202132,14.65813477927177,14.826201,-0.16806665963203926,post
202133,16.574253451103115,17.692339,-1.1180854923783308,post
202134,16.48866612717617,17.171515,-0.6828483839322281,post
202135,17.054135320205376,18.818443,-1.7643079781344682,post
202136,16.787530462513036,19.205456,-2.4179253175162607,post
202137,19.234624914717973,17.55357,1.6810551210168008,post
202138,18.09856768409138,17.089762,1.0088059500825892,post
202139,18.150681514439697,18.166323,-0.015641193690186128,post
202140,19.93218856390112,19.348288,0.5839009815036604,post
202141,21.84428837906687,21.498384,0.3459039033588631,post
202142,25.34538535939141,23.091984,2.2534015642253955,post
202143,36.112755609671,26.57831,9.534445596853615,post
202144,36.37226669276553,27.675798,8.696468276627833,post
202145,33.378229611647434,26.316519,7.061710828078098,post
202146,32.169330003307174,25.884935,6.284394624278853,post
202147,43.973308048433616,33.90334,10.069968662447287,post
202148,33.37225855951976,22.12023,11.252028838450421,post
202149,32.05112513732975,21.812557,10.238567916870764,post
202150,50.88781685044144,28.682919,22.204898301857455,post
202151,48.28441010745364,20.227575,28.056834805329615,post
202152,46.78977709224458,30.957243,15.832534126546335,post
202201,43.726112346078565,29.862745,13.863367061044386,post
202202,63.50943500850336,38.54155,24.967885325886172,post
202203,54.04354970082456,30.805552,23.2379981718939,post
202204,49.77454163117471,34.69244,15.08210159821573,post
202205,53.64322055097261,39.146477,14.496743805367139,post
202206,46.47686536412376,39.27655,7.200315071155011,post
202207,47.34867724742538,36.427837,10.920839875599206,post
202208,44.496397051056285,15.615514,28.880883249481577,post
202209,40.87895153487708,20.331741,20.54721020186927,post
202210,37.09894393399362,16.662703,20.436241373568812,post
202211,40.43022164563795,29.110294,11.319927303596934,post
202212,33.41755131862675,32.285774,1.1317770876697182,post
202213,29.23357992108626,22.860933,6.3726466172532525,post
202214,31.814255807287388,20.234184,11.58007154215067,post
202215,33.16878339343675,25.811579,7.357204642826396,post
202216,31.90127127295925,26.974632,4.926639009775656,post
202217,31.085828856089176,26.785746,4.300083235361637,post
202218,30.6799261930497,28.900106,1.779819762995988,post
202219,26.338647431356183,20.0187,6.319947785360089,post
202220,26.5429831329987,17.48517,9.057812768618817,post
202221,26.012365530804864,21.843718,4.168647955731622,post
202222,24.53453337555308,15.492857,9.041676396182964,post
202223,24.0107033922324,14.825517,9.185186691487772,post
202224,22.206762119385527,16.588753,5.618009372803495,post
202225,23.298906969778383,14.788688,8.51021926378473,post
202226,20.66257375661688,15.68006,4.982513369959165,post
202227,17.817425774967727,14.052459,3.764967011845169,post
202228,17.12154559868725,16.387386,0.7341592766657641,post
202229,21.0970440851835,14.933784,6.163260553994537,post
202230,19.09712168519181,13.376836,5.720285862132727,post
202231,16.148659022912916,14.320106,1.8285534702395765,post
202232,14.658984349632547,12.938567,1.7204171880724886,post
202233,17.168352659907846,15.952398,1.2159543597369478,post
202234,15.72206876982684,13.689342,2.03272722472186,post
202235,15.50371151703156,13.956321,1.5473907543972825,post
202236,20.34881996333871,14.698981,5.649838678243494,post
202237,17.974927391026693,13.054353,4.9205746307117515,post
202238,13.306929761333029,9.93515,3.371779614848654,post
202239,13.222337725784785,14.34806,-1.1257219284510551,post
202240,14.010278034522964,15.177965,-1.1676871296616067,post
202241,20.042320179832167,17.502699,2.5396212815167374,post
202242,19.641390282692228,19.634954,0.00643583017757976,post
202243,23.08143023746003,13.290249,9.79118136661042,post
202244,22.92159901501463,14.142507,8.779092415588359,post
202245,25.90335506731679,14.395075,11.50828022295644,post
202246,33.96716920656191,19.959919,14.007250230731835,post
202247,32.25081288148888,18.15293,14.09788357545861,post
202248,34.43337265607386,12.083939,22.349434057441044,post
202249,38.32366303833272,21.689562,16.634101194460648,post
202250,55.11244051645753,41.29179,13.82065050791261,post
202251,52.83444816549943,17.413153,35.42129547079728,post
202252,54.45992038176881,22.093174,32.36674640105592,post
