year_week,pm25_obs,pm25_cf,att,period
201801,78.62169734314641,76.040115,2.581581986701096,pre
201802,78.07960474865706,75.31184,2.76776850598128,pre
201803,92.56108652143604,94.00732,-1.44623006791943,pre
201804,69.8580933183797,68.67831,1.1797867387898577,pre
201805,61.180004420251656,58.821064,2.358940424890328,pre
201806,55.15172472433037,55.62169,-0.46996411844306607,pre
201807,47.64358137504337,46.315746,1.3278350676703212,pre
201808,51.62841817068052,52.656612,-1.0281942255597158,pre
201809,48.14585960601927,50.333736,-2.1878768136584625,pre
201810,58.348302566344,55.19444,3.1538636320178313,pre
201811,42.91778061548053,43.975132,-1.0573513730448596,pre
201812,53.653051425648265,51.50414,2.1489124791150616,pre
201813,43.77516906142661,42.636368,1.138801263575047,pre
201814,39.88002359278838,40.253056,-0.37303197972138236,pre
201815,32.81410014364229,35.82973,-3.0156308439065356,pre
201816,28.44202259910908,30.52118,-2.0791566001096697,pre
201817,43.18470497539924,34.909687,8.275017933162914,pre
201818,32.495002300823224,32.36543,0.12957337626267673,pre
201819,30.1921789265524,34.390095,-4.197915830527677,pre
201820,27.923648960199536,25.414272,2.5093766518499265,pre
201821,28.738185285228173,29.204744,-0.46655905376108464,pre
201822,25.757035998055443,27.579643,-1.822607251456276,pre
201823,27.33449328590008,25.92297,1.4115234677848463,pre
201824,23.799772133287927,22.91861,0.8811625141473023,pre
201825,22.85734537201156,21.94158,0.9157655532859756,pre
201826,20.324777929593463,18.926935,1.3978427336706112,pre
201827,16.690537766588054,18.149021,-1.4584833820935863,pre
201828,19.92339949564937,19.290407,0.6329923148632375,pre
201829,20.05899573020212,20.942013,-0.8830170566631139,pre
201830,23.79201215511227,22.953514,0.8384980559911774,pre
201831,16.413425907171803,16.081898,0.3315281715760996,pre
201832,15.30990688147216,16.780193,-1.470286447385261,pre
201833,15.397390854608656,15.906578,-0.5091872093561882,pre
201834,16.332792695824864,16.202076,0.1307167375729108,pre
201835,15.614880381462772,15.899787,-0.28490656769494294,pre
201836,16.640914068410712,17.273981,-0.6330670259496394,pre
201837,18.05754434660289,17.152313,0.9052311141810137,pre
201838,20.64739862867303,18.874975,1.7724234242052574,pre
201839,20.814137978070143,21.587702,-0.7735638194152088,pre
201840,22.12410171201065,23.289223,-1.1651210052745071,pre
201841,21.61741030913375,22.923424,-1.3060134579560945,pre
201842,30.21217072260493,32.37516,-2.1629894946802253,pre
201843,28.507147443463083,27.867407,0.6397405983703095,pre
201844,27.253164194482544,27.47639,-0.22322664414050308,pre
201845,33.120037985037015,32.285114,0.8349236967069373,pre
201846,40.10738889666021,40.504505,-0.3971162608104919,pre
201847,54.09205048783053,51.270496,2.8215541194223235,pre
201848,58.59608705055,61.84221,-3.2461218117546906,pre
201849,60.32706079681369,57.347775,2.9792862911984557,pre
201850,58.57356970622887,57.97453,0.5990404398714446,pre
201851,51.626472236193294,50.088917,1.5375554576288408,pre
201852,49.29244053137608,53.506413,-4.213971974727436,pre
201901,81.45996464710596,82.17752,-0.7175561048471621,pre
201902,85.20174222203485,85.150955,0.05078702183953965,pre
201903,81.15137266949792,79.05893,2.092443226138542,pre
201904,52.90593708850429,54.09411,-1.1881714930386806,pre
201905,52.20273420484627,51.6546,0.5481359687622884,pre
201906,59.46524804555013,59.585964,-0.12071615733072605,pre
201907,64.10601051670596,64.916016,-0.8100051082940354,pre
201908,91.88755537469945,89.8051,2.082455887394758,pre
201909,68.42096262639973,68.25708,0.16388254827472792,pre
201910,50.96125309717621,51.490993,-0.5297404025796482,pre
201911,30.37005967302036,29.032452,1.3376080433816888,pre
201912,31.543529426706,30.291626,1.2519034501435016,pre
201913,34.46346778191334,30.464363,3.999104683768806,pre
201914,32.955387333276725,34.037525,-1.0821378437252278,pre
201915,33.46025574276596,31.715189,1.74506676266342,pre
201916,29.354267449064487,30.651426,-1.2971588662431301,pre
201917,22.861140199746803,24.898159,-2.0370188273528065,pre
201918,27.13289786621204,26.685516,0.4473815087901656,pre
201919,27.791004818515862,28.665659,-0.8746541322898018,pre
201920,26.06375304926577,26.82589,-0.7621365381365734,pre
